1	"wikipedia infoboxes"	rdfs:subClassOf	"infoboxes"
5	"attribute"	rdfs:member	"attribute values"
5	"attribute values"	rdfs:subClassOf	"values"
5	"containing"	vn.role:Theme2	"categories"
6	"propose"	vn.role:Agent	"we"
6	"attribute pairs"	rdfs:subClassOf	"pairs"
6	"factor"	rdfs:member	"factor graph"
6	"factor graph"	rdfs:subClassOf	"graph"
6	"entity-attribute factor"	rdfs:subClassOf	"factor"
6	"entity-attribute"	rdfs:member	"entity-attribute factor"
6	"entity-attribute factor"	rdfs:member	"entity-attribute factor graph"
6	"attribute"	rdfs:member	"attribute pairs"
6	"entity-attribute factor graph"	rdfs:subClassOf	"graph"
6	"not only"	rdfs:subClassOf	"only"
6	"entity-attribute factor graph"	rdfs:subClassOf	"factor graph"
6	"correlations among attribute pairs"	local:among_attributepairs	"correlations"
6	"correlations among attribute pairs"	local:correlations_among	"attribute pairs"
6	"propose"	vn.role:Topic	"entity-attribute factor graph"
6	"factor"	rdfs:member	"factor graph"
6	"factor graph"	rdfs:subClassOf	"graph"
6	"entity-attribute factor"	rdfs:subClassOf	"factor"
6	"entity-attribute"	rdfs:member	"entity-attribute factor"
6	"entity-attribute factor"	rdfs:member	"entity-attribute factor graph"
6	"entity-attribute factor graph"	rdfs:subClassOf	"graph"
6	"entity-attribute factor graph"	rdfs:subClassOf	"factor graph"
6	"consider"	vn.role:Agent	"entity-attribute factor graph"
6	"attribute pairs"	rdfs:subClassOf	"pairs"
6	"attribute"	rdfs:member	"attribute pairs"
6	"correlations among attribute pairs"	local:among_attributepairs	"correlations"
6	"correlations among attribute pairs"	local:correlations_among	"attribute pairs"
6	"consider"	vn.role:Theme	"correlations among attribute pairs"
7	"propose"	vn.role:Agent	"we"
7	"not only individual"	rdfs:member	"not only individual features"
7	"individual"	rdfs:member	"individual features"
7	"factor"	rdfs:member	"factor graph"
7	"factor graph"	rdfs:subClassOf	"graph"
7	"only"	rdfs:member	"only individual"
7	"entity-attribute factor"	rdfs:subClassOf	"factor"
7	"only individual"	rdfs:subClassOf	"individual"
7	"not only individual features"	rdfs:subClassOf	"features"
7	"entity-attribute"	rdfs:member	"entity-attribute factor"
7	"individual features"	rdfs:subClassOf	"features"
7	"only individual features"	rdfs:subClassOf	"features"
7	"not"	rdfs:member	"not only"
7	"entity-attribute factor"	rdfs:member	"entity-attribute factor graph"
7	"not only"	rdfs:member	"not only individual"
7	"only individual"	rdfs:member	"only individual features"
7	"entity-attribute factor graph"	rdfs:subClassOf	"graph"
7	"not only"	rdfs:subClassOf	"only"
7	"not only individual"	rdfs:subClassOf	"individual"
7	"entity-attribute factor graph"	rdfs:subClassOf	"factor graph"
7	"propose"	vn.role:Topic	"entity-attribute factor graph"
7	"factor"	rdfs:member	"factor graph"
7	"factor graph"	rdfs:subClassOf	"graph"
7	"entity-attribute factor"	rdfs:subClassOf	"factor"
7	"entity-attribute"	rdfs:member	"entity-attribute factor"
7	"entity-attribute factor"	rdfs:member	"entity-attribute factor graph"
7	"entity-attribute factor graph"	rdfs:subClassOf	"graph"
7	"entity-attribute factor graph"	rdfs:subClassOf	"factor graph"
7	"consider"	vn.role:Agent	"entity-attribute factor graph"
7	"individual"	rdfs:member	"individual features"
7	"individual features"	rdfs:subClassOf	"features"
7	"consider"	vn.role:Theme	"individual features"
8	"proposed"	vn.role:Topic	"approach"
8	"proposed approach"	rdfs:subClassOf	"approach"
8	"achieve"	vn.role:Agent	"proposed approach"
8	"achieve"	local:AM-MOD	"can"
8	"data sets"	rdfs:subClassOf	"sets"
8	"high f1-measure"	rdfs:subClassOf	"f1-measure"
8	"high"	rdfs:member	"high f1-measure"
8	"data"	rdfs:member	"data sets"
8	"two data sets"	rdfs:subClassOf	"data sets"
8	"respectively %"	rdfs:subClassOf	"%"
8	"85.4 respectively %"	rdfs:subClassOf	"respectively %"
8	"85.5 respectively %"	rdfs:subClassOf	"respectively %"
8	"85.5 respectively % on two data sets"	local:on_twodatasets	"85.5 respectively %"
8	"85.5 respectively % on two data sets"	local:85.5respectively%_on	"two data sets"
8	"achieve"	vn.role:Theme	"high f1-measure"
9	"proposed"	vn.role:Topic	"approach"
9	"proposed approach"	rdfs:subClassOf	"approach"
9	"finds"	vn.role:Agent	"proposed approach"
9	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
9	"new"	rdfs:member	"new infobox"
9	"chinese"	rdfs:member	"chinese wikipedia"
9	"infobox attributes"	rdfs:subClassOf	"attributes"
9	"attribute"	rdfs:member	"attribute mappings"
9	"attribute mappings"	rdfs:subClassOf	"mappings"
9	"infobox"	rdfs:member	"infobox attributes"
9	"new infobox"	rdfs:subClassOf	"infobox"
9	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
9	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
9	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
9	"six thousand"	rdfs:subClassOf	"thousand"
9	"more six"	rdfs:subClassOf	"six"
9	"no six thousand"	rdfs:subClassOf	"six thousand"
9	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
9	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
9	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
9	"23,923 new infobox attribute mappings between chinese wikipedia"	local:between_chinesewikipedia	"23,923 new infobox attribute mappings"
9	"23,923 new infobox attribute mappings between chinese wikipedia"	local:23,923newinfoboxattributemappings_between	"chinese wikipedia"
9	"31,576 between french"	local:between_french	"31,576"
9	"31,576 between french"	local:31,576_between	"french"
9	"31,576 between french based"	local:_based	"31,576 between french"
9	"31,576 between french based"	local:31,576betweenfrench_	"based"
9	"based on thousand existing matched infobox attributes"	local:on_thousandexistingmatchedinfoboxattributes	"based"
9	"based on thousand existing matched infobox attributes"	local:based_on	"thousand existing matched infobox attributes"
9	"finds"	vn.role:Theme	"23,923 new infobox attribute mappings between chinese wikipedia"
9	"attribute"	vn.role:Theme	"mappings"
9	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
9	"chinese"	rdfs:member	"chinese wikipedia"
9	"attribute"	vn.role:Recipient	"chinese wikipedia"
9	"infobox"	rdfs:member	"infobox attributes"
9	"infobox attributes"	rdfs:subClassOf	"attributes"
9	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
9	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
9	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
9	"six thousand"	rdfs:subClassOf	"thousand"
9	"based"	vn.role:indirect_object	"thousand existing matched infobox attributes"
9	"six thousand"	rdfs:subClassOf	"thousand"
9	"existing"	vn.role:Location	"six thousand"
9	"infobox"	rdfs:member	"infobox attributes"
9	"infobox attributes"	rdfs:subClassOf	"attributes"
9	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
9	"existing"	vn.role:Location	"matched infobox attributes"
9	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
9	"new"	rdfs:member	"new infobox"
9	"chinese"	rdfs:member	"chinese wikipedia"
9	"attribute"	rdfs:member	"attribute mappings"
9	"attribute mappings"	rdfs:subClassOf	"mappings"
9	"new infobox"	rdfs:subClassOf	"infobox"
9	"six thousand"	rdfs:subClassOf	"thousand"
9	"more six"	rdfs:subClassOf	"six"
9	"no more six"	rdfs:subClassOf	"more six"
9	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
9	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
9	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
9	"23,923 new infobox attribute mappings between chinese wikipedia"	local:between_chinesewikipedia	"23,923 new infobox attribute mappings"
9	"23,923 new infobox attribute mappings between chinese wikipedia"	local:23,923newinfoboxattributemappings_between	"chinese wikipedia"
9	"31,576 between french"	local:between_french	"31,576"
9	"31,576 between french"	local:31,576_between	"french"
9	"31,576 between french based_on six thousand"	local:based_on_sixthousand	"31,576 between french"
9	"31,576 between french based_on six thousand"	local:31,576betweenfrench_based_on	"six thousand"
9	"matched"	vn.role:Patient2	"23,923 new infobox attribute mappings between chinese wikipedia"
9	"infobox"	rdfs:member	"infobox attributes"
9	"infobox attributes"	rdfs:subClassOf	"attributes"
9	"matched"	vn.role:Patient2	"infobox attributes"
10	"proposed"	vn.role:Topic	"approach"
10	"proposed approach"	rdfs:subClassOf	"approach"
10	"finds"	vn.role:Agent	"proposed approach"
10	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
10	"new"	rdfs:member	"new infobox"
10	"chinese"	rdfs:member	"chinese wikipedia"
10	"infobox attributes"	rdfs:subClassOf	"attributes"
10	"attribute"	rdfs:member	"attribute mappings"
10	"attribute mappings"	rdfs:subClassOf	"mappings"
10	"infobox"	rdfs:member	"infobox attributes"
10	"new infobox"	rdfs:subClassOf	"infobox"
10	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
10	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
10	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
10	"six thousand"	rdfs:subClassOf	"thousand"
10	"more six"	rdfs:subClassOf	"six"
10	"no six thousand"	rdfs:subClassOf	"six thousand"
10	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
10	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
10	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:between_chinesewikipedia	"23,923 new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:23,923newinfoboxattributemappings_between	"chinese wikipedia"
10	"31,576 between english"	local:between_english	"31,576"
10	"31,576 between english"	local:31,576_between	"english"
10	"english based_on thousand existing matched infobox attributes"	local:based_on_thousandexistingmatchedinfoboxattributes	"english"
10	"english based_on thousand existing matched infobox attributes"	local:english_based_on	"thousand existing matched infobox attributes"
10	"finds"	vn.role:Theme	"23,923 new infobox attribute mappings between chinese wikipedia"
10	"attribute"	vn.role:Theme	"mappings"
10	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
10	"chinese"	rdfs:member	"chinese wikipedia"
10	"attribute"	vn.role:Recipient	"chinese wikipedia"
10	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
10	"new"	rdfs:member	"new infobox"
10	"chinese"	rdfs:member	"chinese wikipedia"
10	"attribute"	rdfs:member	"attribute mappings"
10	"attribute mappings"	rdfs:subClassOf	"mappings"
10	"new infobox"	rdfs:subClassOf	"infobox"
10	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
10	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
10	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:between_chinesewikipedia	"23,923 new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:23,923newinfoboxattributemappings_between	"chinese wikipedia"
10	"31,576 between english"	local:between_english	"31,576"
10	"31,576 between english"	local:31,576_between	"english"
10	"based"	vn.role:Cause	"23,923 new infobox attribute mappings between chinese wikipedia"
10	"infobox"	rdfs:member	"infobox attributes"
10	"infobox attributes"	rdfs:subClassOf	"attributes"
10	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
10	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
10	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
10	"six thousand"	rdfs:subClassOf	"thousand"
10	"based"	vn.role:indirect_object	"thousand existing matched infobox attributes"
10	"six thousand"	rdfs:subClassOf	"thousand"
10	"existing"	vn.role:Location	"six thousand"
10	"infobox"	rdfs:member	"infobox attributes"
10	"infobox attributes"	rdfs:subClassOf	"attributes"
10	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
10	"existing"	vn.role:Location	"matched infobox attributes"
10	"chinese wikipedia"	rdfs:subClassOf	"wikipedia"
10	"new"	rdfs:member	"new infobox"
10	"chinese"	rdfs:member	"chinese wikipedia"
10	"attribute"	rdfs:member	"attribute mappings"
10	"attribute mappings"	rdfs:subClassOf	"mappings"
10	"new infobox"	rdfs:subClassOf	"infobox"
10	"six thousand"	rdfs:subClassOf	"thousand"
10	"more six"	rdfs:subClassOf	"six"
10	"no more six"	rdfs:subClassOf	"more six"
10	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
10	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
10	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:between_chinesewikipedia	"23,923 new infobox attribute mappings"
10	"23,923 new infobox attribute mappings between chinese wikipedia"	local:23,923newinfoboxattributemappings_between	"chinese wikipedia"
10	"31,576 between english"	local:between_english	"31,576"
10	"31,576 between english"	local:31,576_between	"english"
10	"english based_on six thousand"	local:based_on_sixthousand	"english"
10	"english based_on six thousand"	local:english_based_on	"six thousand"
10	"six thousand existing"	local:_existing	"six thousand"
10	"six thousand existing"	local:sixthousand_	"existing"
10	"matched"	vn.role:Patient2	"23,923 new infobox attribute mappings between chinese wikipedia"
10	"infobox"	rdfs:member	"infobox attributes"
10	"infobox attributes"	rdfs:subClassOf	"attributes"
10	"matched"	vn.role:Patient2	"infobox attributes"
11	"proposed"	vn.role:Topic	"approach"
11	"proposed approach"	rdfs:subClassOf	"approach"
11	"finds"	vn.role:Agent	"proposed approach"
11	"english wikipedia"	rdfs:subClassOf	"wikipedia"
11	"new"	rdfs:member	"new infobox"
11	"infobox attributes"	rdfs:subClassOf	"attributes"
11	"attribute"	rdfs:member	"attribute mappings"
11	"attribute mappings"	rdfs:subClassOf	"mappings"
11	"infobox"	rdfs:member	"infobox attributes"
11	"new infobox"	rdfs:subClassOf	"infobox"
11	"english"	rdfs:member	"english wikipedia"
11	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
11	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
11	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
11	"six thousand"	rdfs:subClassOf	"thousand"
11	"more six"	rdfs:subClassOf	"six"
11	"no six thousand"	rdfs:subClassOf	"six thousand"
11	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
11	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
11	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
11	"23,923 new infobox attribute mappings between english wikipedia"	local:between_englishwikipedia	"23,923 new infobox attribute mappings"
11	"23,923 new infobox attribute mappings between english wikipedia"	local:23,923newinfoboxattributemappings_between	"english wikipedia"
11	"31,576 between french"	local:between_french	"31,576"
11	"31,576 between french"	local:31,576_between	"french"
11	"31,576 between french based"	local:_based	"31,576 between french"
11	"31,576 between french based"	local:31,576betweenfrench_	"based"
11	"based on thousand existing matched infobox attributes"	local:on_thousandexistingmatchedinfoboxattributes	"based"
11	"based on thousand existing matched infobox attributes"	local:based_on	"thousand existing matched infobox attributes"
11	"finds"	vn.role:Theme	"23,923 new infobox attribute mappings between english wikipedia"
11	"attribute"	vn.role:Theme	"mappings"
11	"infobox"	rdfs:member	"infobox attributes"
11	"infobox attributes"	rdfs:subClassOf	"attributes"
11	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
11	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
11	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
11	"six thousand"	rdfs:subClassOf	"thousand"
11	"based"	vn.role:indirect_object	"thousand existing matched infobox attributes"
11	"six thousand"	rdfs:subClassOf	"thousand"
11	"existing"	vn.role:Location	"six thousand"
11	"infobox"	rdfs:member	"infobox attributes"
11	"infobox attributes"	rdfs:subClassOf	"attributes"
11	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
11	"existing"	vn.role:Location	"matched infobox attributes"
11	"english wikipedia"	rdfs:subClassOf	"wikipedia"
11	"new"	rdfs:member	"new infobox"
11	"attribute"	rdfs:member	"attribute mappings"
11	"attribute mappings"	rdfs:subClassOf	"mappings"
11	"new infobox"	rdfs:subClassOf	"infobox"
11	"english"	rdfs:member	"english wikipedia"
11	"six thousand"	rdfs:subClassOf	"thousand"
11	"more six"	rdfs:subClassOf	"six"
11	"no more six"	rdfs:subClassOf	"more six"
11	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
11	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
11	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
11	"23,923 new infobox attribute mappings between english wikipedia"	local:between_englishwikipedia	"23,923 new infobox attribute mappings"
11	"23,923 new infobox attribute mappings between english wikipedia"	local:23,923newinfoboxattributemappings_between	"english wikipedia"
11	"31,576 between french"	local:between_french	"31,576"
11	"31,576 between french"	local:31,576_between	"french"
11	"31,576 between french based_on six thousand"	local:based_on_sixthousand	"31,576 between french"
11	"31,576 between french based_on six thousand"	local:31,576betweenfrench_based_on	"six thousand"
11	"matched"	vn.role:Patient2	"23,923 new infobox attribute mappings between english wikipedia"
11	"infobox"	rdfs:member	"infobox attributes"
11	"infobox attributes"	rdfs:subClassOf	"attributes"
11	"matched"	vn.role:Patient2	"infobox attributes"
12	"proposed"	vn.role:Topic	"approach"
12	"proposed approach"	rdfs:subClassOf	"approach"
12	"finds"	vn.role:Agent	"proposed approach"
12	"english wikipedia"	rdfs:subClassOf	"wikipedia"
12	"new"	rdfs:member	"new infobox"
12	"infobox attributes"	rdfs:subClassOf	"attributes"
12	"attribute"	rdfs:member	"attribute mappings"
12	"attribute mappings"	rdfs:subClassOf	"mappings"
12	"infobox"	rdfs:member	"infobox attributes"
12	"new infobox"	rdfs:subClassOf	"infobox"
12	"english"	rdfs:member	"english wikipedia"
12	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
12	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
12	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
12	"six thousand"	rdfs:subClassOf	"thousand"
12	"more six"	rdfs:subClassOf	"six"
12	"no six thousand"	rdfs:subClassOf	"six thousand"
12	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
12	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
12	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:between_englishwikipedia	"23,923 new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:23,923newinfoboxattributemappings_between	"english wikipedia"
12	"31,576 between english"	local:between_english	"31,576"
12	"31,576 between english"	local:31,576_between	"english"
12	"english based_on thousand existing matched infobox attributes"	local:based_on_thousandexistingmatchedinfoboxattributes	"english"
12	"english based_on thousand existing matched infobox attributes"	local:english_based_on	"thousand existing matched infobox attributes"
12	"finds"	vn.role:Theme	"23,923 new infobox attribute mappings between english wikipedia"
12	"attribute"	vn.role:Theme	"mappings"
12	"english wikipedia"	rdfs:subClassOf	"wikipedia"
12	"new"	rdfs:member	"new infobox"
12	"attribute"	rdfs:member	"attribute mappings"
12	"attribute mappings"	rdfs:subClassOf	"mappings"
12	"new infobox"	rdfs:subClassOf	"infobox"
12	"english"	rdfs:member	"english wikipedia"
12	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
12	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
12	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:between_englishwikipedia	"23,923 new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:23,923newinfoboxattributemappings_between	"english wikipedia"
12	"31,576 between english"	local:between_english	"31,576"
12	"31,576 between english"	local:31,576_between	"english"
12	"based"	vn.role:Cause	"23,923 new infobox attribute mappings between english wikipedia"
12	"infobox"	rdfs:member	"infobox attributes"
12	"infobox attributes"	rdfs:subClassOf	"attributes"
12	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
12	"existing matched infobox attributes"	rdfs:subClassOf	"matched infobox attributes"
12	"thousand existing matched infobox attributes"	rdfs:subClassOf	"existing matched infobox attributes"
12	"six thousand"	rdfs:subClassOf	"thousand"
12	"based"	vn.role:indirect_object	"thousand existing matched infobox attributes"
12	"six thousand"	rdfs:subClassOf	"thousand"
12	"existing"	vn.role:Location	"six thousand"
12	"infobox"	rdfs:member	"infobox attributes"
12	"infobox attributes"	rdfs:subClassOf	"attributes"
12	"matched infobox attributes"	rdfs:subClassOf	"infobox attributes"
12	"existing"	vn.role:Location	"matched infobox attributes"
12	"english wikipedia"	rdfs:subClassOf	"wikipedia"
12	"new"	rdfs:member	"new infobox"
12	"attribute"	rdfs:member	"attribute mappings"
12	"attribute mappings"	rdfs:subClassOf	"mappings"
12	"new infobox"	rdfs:subClassOf	"infobox"
12	"english"	rdfs:member	"english wikipedia"
12	"six thousand"	rdfs:subClassOf	"thousand"
12	"more six"	rdfs:subClassOf	"six"
12	"no more six"	rdfs:subClassOf	"more six"
12	"infobox attribute mappings"	rdfs:subClassOf	"attribute mappings"
12	"new infobox attribute mappings"	rdfs:subClassOf	"infobox attribute mappings"
12	"23,923 new infobox attribute mappings"	rdfs:subClassOf	"new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:between_englishwikipedia	"23,923 new infobox attribute mappings"
12	"23,923 new infobox attribute mappings between english wikipedia"	local:23,923newinfoboxattributemappings_between	"english wikipedia"
12	"31,576 between english"	local:between_english	"31,576"
12	"31,576 between english"	local:31,576_between	"english"
12	"english based_on six thousand"	local:based_on_sixthousand	"english"
12	"english based_on six thousand"	local:english_based_on	"six thousand"
12	"six thousand existing"	local:_existing	"six thousand"
12	"six thousand existing"	local:sixthousand_	"existing"
