0	"increasing"	vn.role:Attribute	"need"
3	"want"	vn.role:Agent	"we"
3	"want"	local:AM-MOD	"may"
3	"compare metamizole"	rdfs:subClassOf	"metamizole"
3	"contrast to metamizole"	local:to_metamizole	"contrast"
3	"contrast to metamizole"	local:contrast_to	"metamizole"
3	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
3	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
3	"want"	vn.role:Theme	"compare"
3	"compare"	vn.role:Patient1	"we"
3	"compare"	vn.role:Patient2	"metamizole"
3	"compare"	local:AM-MNR	"contrast"
3	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
3	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
3	"compare"	vn.role:Agent	"metamizole ibuprofen"
3	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
3	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
3	"has"	vn.role:Experiencer	"metamizole ibuprofen"
3	"has"	local:AM-DIS	"also"
3	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
3	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
3	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
3	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
3	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
4	"want"	vn.role:Agent	"we"
4	"want"	local:AM-MOD	"may"
4	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
4	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
4	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
4	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
4	"also has"	rdfs:subClassOf	"has"
4	"similar in ibuprofen"	local:in_ibuprofen	"similar"
4	"similar in ibuprofen"	local:similar_in	"ibuprofen"
4	"also has in contrast"	local:in_contrast	"also has"
4	"also has in contrast"	local:alsohas_in	"contrast"
4	"contrast to metamizole"	local:to_metamizole	"contrast"
4	"contrast to metamizole"	local:contrast_to	"metamizole"
4	"want"	vn.role:Theme	"analgesics"
4	"find"	vn.role:Theme	"drugs"
4	"find"	vn.role:Agent	"we"
4	"similar in ibuprofen"	local:in_ibuprofen	"similar"
4	"similar in ibuprofen"	local:similar_in	"ibuprofen"
4	"analgesics in contrast"	local:in_contrast	"analgesics"
4	"analgesics in contrast"	local:analgesics_in	"contrast"
4	"contrast to metamizole"	local:to_metamizole	"contrast"
4	"contrast to metamizole"	local:contrast_to	"metamizole"
4	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
4	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
4	"find"	vn.role:Theme	"analgesics in contrast"
4	"has"	vn.role:Experiencer	"analgesics"
4	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
4	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
4	"has"	vn.role:Experiencer	"metamizole ibuprofen"
4	"has"	local:AM-DIS	"also"
4	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
4	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
4	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
4	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
4	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
5	"want"	vn.role:Agent	"we"
5	"want"	local:AM-MOD	"may"
5	"compare metamizole"	rdfs:subClassOf	"metamizole"
5	"contrast to metamizole"	local:to_metamizole	"contrast"
5	"contrast to metamizole"	local:contrast_to	"metamizole"
5	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
5	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
5	"want"	vn.role:Theme	"compare"
5	"compare"	vn.role:Patient1	"we"
5	"compare"	vn.role:Patient2	"metamizole"
5	"compare"	local:AM-MNR	"contrast"
5	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
5	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
5	"compare"	vn.role:Agent	"metamizole ibuprofen"
5	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
5	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
5	"has"	vn.role:Experiencer	"metamizole ibuprofen"
5	"has"	local:AM-DIS	"also"
5	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
5	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
5	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
5	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
5	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
6	"want"	vn.role:Agent	"we"
6	"want"	local:AM-MOD	"may"
6	"similar in metamizole"	local:in_metamizole	"similar"
6	"similar in metamizole"	local:similar_in	"metamizole"
6	"want"	vn.role:Theme	"find"
6	"find"	vn.role:Theme	"drugs"
6	"find"	vn.role:Agent	"we"
6	"similar in metamizole"	local:in_metamizole	"similar"
6	"similar in metamizole"	local:similar_in	"metamizole"
6	"find"	vn.role:Theme	"similar in metamizole"
6	"has"	vn.role:Experiencer	"analgesics"
6	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
6	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
6	"has"	vn.role:Experiencer	"metamizole ibuprofen"
6	"has"	local:AM-DIS	"also"
6	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
6	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
6	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
6	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
6	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
7	"want"	vn.role:Agent	"we"
7	"want"	local:AM-MOD	"may"
7	"compare metamizole"	rdfs:subClassOf	"metamizole"
7	"contrast to metamizole"	local:to_metamizole	"contrast"
7	"contrast to metamizole"	local:contrast_to	"metamizole"
7	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
7	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
7	"want"	vn.role:Theme	"compare"
7	"compare"	vn.role:Patient1	"we"
7	"compare"	vn.role:Patient2	"metamizole"
7	"compare"	local:AM-MNR	"contrast"
7	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
7	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
7	"compare"	vn.role:Agent	"metamizole ibuprofen"
7	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
7	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
7	"has"	vn.role:Experiencer	"metamizole ibuprofen"
7	"has"	local:AM-DIS	"also"
7	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
7	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
7	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
7	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
7	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
8	"want"	vn.role:Agent	"we"
8	"want"	local:AM-MOD	"may"
8	"similar in ibuprofen"	local:in_ibuprofen	"similar"
8	"similar in ibuprofen"	local:similar_in	"ibuprofen"
8	"want"	vn.role:Theme	"find"
8	"find"	vn.role:Theme	"drugs"
8	"find"	vn.role:Agent	"we"
8	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
8	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
8	"has"	vn.role:Experiencer	"metamizole ibuprofen"
8	"has"	local:AM-DIS	"also"
8	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
8	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
8	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
8	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
8	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
9	"want"	vn.role:Agent	"we"
9	"want"	local:AM-MOD	"may"
9	"compare metamizole"	rdfs:subClassOf	"metamizole"
9	"contrast to metamizole"	local:to_metamizole	"contrast"
9	"contrast to metamizole"	local:contrast_to	"metamizole"
9	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
9	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
9	"want"	vn.role:Theme	"compare"
9	"compare"	vn.role:Patient1	"we"
9	"compare"	vn.role:Patient2	"metamizole"
9	"compare"	local:AM-MNR	"contrast"
9	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
9	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
9	"compare"	vn.role:Agent	"metamizole ibuprofen"
9	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
9	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
9	"has"	vn.role:Experiencer	"metamizole ibuprofen"
9	"has"	local:AM-DIS	"also"
9	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
9	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
9	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
9	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
9	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
10	"want"	vn.role:Agent	"we"
10	"want"	local:AM-MOD	"may"
10	"similar in metamizole"	local:in_metamizole	"similar"
10	"similar in metamizole"	local:similar_in	"metamizole"
10	"want"	vn.role:Theme	"find"
10	"find"	vn.role:Theme	"drugs"
10	"find"	vn.role:Agent	"we"
10	"has"	vn.role:Experiencer	"analgesics"
10	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
10	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
10	"has"	vn.role:Experiencer	"metamizole ibuprofen"
10	"has"	local:AM-DIS	"also"
10	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
10	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
10	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
10	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
10	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
11	"want"	vn.role:Agent	"we"
11	"want"	local:AM-MOD	"may"
11	"compare ibuprofen"	rdfs:subClassOf	"ibuprofen"
11	"contrast to metamizole"	local:to_metamizole	"contrast"
11	"contrast to metamizole"	local:contrast_to	"metamizole"
11	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
11	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
11	"want"	vn.role:Theme	"compare"
11	"compare"	vn.role:Patient1	"we"
11	"compare"	vn.role:Patient2	"ibuprofen"
11	"compare"	local:AM-MNR	"contrast"
11	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
11	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
11	"compare"	vn.role:Agent	"metamizole ibuprofen"
11	"has"	vn.role:Experiencer	"ibuprofen"
11	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
11	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
11	"has"	vn.role:Experiencer	"metamizole ibuprofen"
11	"has"	local:AM-DIS	"also"
11	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
11	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
11	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
11	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
11	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
12	"want"	vn.role:Agent	"we"
12	"want"	local:AM-MOD	"may"
12	"similar in metamizole"	local:in_metamizole	"similar"
12	"similar in metamizole"	local:similar_in	"metamizole"
12	"want"	vn.role:Theme	"find"
12	"find"	vn.role:Theme	"drugs"
12	"find"	vn.role:Agent	"we"
12	"similar in metamizole"	local:in_metamizole	"similar"
12	"similar in metamizole"	local:similar_in	"metamizole"
12	"find"	vn.role:Theme	"similar in metamizole"
12	"has"	vn.role:Experiencer	"analgesics"
12	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
12	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
12	"has"	vn.role:Experiencer	"metamizole ibuprofen"
12	"has"	local:AM-DIS	"also"
12	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
12	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
12	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
12	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
12	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
13	"want"	vn.role:Agent	"we"
13	"want"	local:AM-MOD	"may"
13	"compare ibuprofen"	rdfs:subClassOf	"ibuprofen"
13	"contrast to metamizole"	local:to_metamizole	"contrast"
13	"contrast to metamizole"	local:contrast_to	"metamizole"
13	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
13	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
13	"want"	vn.role:Theme	"compare"
13	"compare"	vn.role:Patient1	"we"
13	"compare"	vn.role:Patient2	"ibuprofen"
13	"compare"	local:AM-MNR	"contrast"
13	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
13	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
13	"compare"	vn.role:Agent	"metamizole ibuprofen"
13	"has"	vn.role:Experiencer	"ibuprofen"
13	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
13	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
13	"has"	vn.role:Experiencer	"metamizole ibuprofen"
13	"has"	local:AM-DIS	"also"
13	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
13	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
13	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
13	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
13	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
14	"want"	vn.role:Agent	"we"
14	"want"	local:AM-MOD	"may"
14	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
14	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
14	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
14	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
14	"also has"	rdfs:subClassOf	"has"
14	"similar in ibuprofen"	local:in_ibuprofen	"similar"
14	"similar in ibuprofen"	local:similar_in	"ibuprofen"
14	"also has in contrast"	local:in_contrast	"also has"
14	"also has in contrast"	local:alsohas_in	"contrast"
14	"contrast to metamizole"	local:to_metamizole	"contrast"
14	"contrast to metamizole"	local:contrast_to	"metamizole"
14	"want"	vn.role:Theme	"analgesics"
14	"find"	vn.role:Theme	"drugs"
14	"find"	vn.role:Agent	"we"
14	"similar in ibuprofen"	local:in_ibuprofen	"similar"
14	"similar in ibuprofen"	local:similar_in	"ibuprofen"
14	"analgesics in contrast"	local:in_contrast	"analgesics"
14	"analgesics in contrast"	local:analgesics_in	"contrast"
14	"contrast to metamizole"	local:to_metamizole	"contrast"
14	"contrast to metamizole"	local:contrast_to	"metamizole"
14	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
14	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
14	"find"	vn.role:Theme	"analgesics in contrast"
14	"has"	vn.role:Experiencer	"analgesics"
14	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
14	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
14	"has"	vn.role:Experiencer	"metamizole ibuprofen"
14	"has"	local:AM-DIS	"also"
14	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
14	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
14	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
14	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
14	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
15	"want"	vn.role:Agent	"we"
15	"want"	local:AM-MOD	"may"
15	"compare ibuprofen"	rdfs:subClassOf	"ibuprofen"
15	"contrast to metamizole"	local:to_metamizole	"contrast"
15	"contrast to metamizole"	local:contrast_to	"metamizole"
15	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
15	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
15	"want"	vn.role:Theme	"compare"
15	"compare"	vn.role:Patient1	"we"
15	"compare"	vn.role:Patient2	"ibuprofen"
15	"compare"	local:AM-MNR	"contrast"
15	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
15	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
15	"compare"	vn.role:Agent	"metamizole ibuprofen"
15	"has"	vn.role:Experiencer	"ibuprofen"
15	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
15	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
15	"has"	vn.role:Experiencer	"metamizole ibuprofen"
15	"has"	local:AM-DIS	"also"
15	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
15	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
15	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
15	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
15	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
16	"want"	vn.role:Agent	"we"
16	"want"	local:AM-MOD	"may"
16	"similar in metamizole"	local:in_metamizole	"similar"
16	"similar in metamizole"	local:similar_in	"metamizole"
16	"want"	vn.role:Theme	"find"
16	"find"	vn.role:Theme	"drugs"
16	"find"	vn.role:Agent	"we"
16	"has"	vn.role:Experiencer	"analgesics"
16	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
16	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
16	"has"	vn.role:Experiencer	"metamizole ibuprofen"
16	"has"	local:AM-DIS	"also"
16	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
16	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
16	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
16	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
16	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
17	"want"	vn.role:Agent	"we"
17	"want"	local:AM-MOD	"may"
17	"compare ibuprofen"	rdfs:subClassOf	"ibuprofen"
17	"contrast to metamizole"	local:to_metamizole	"contrast"
17	"contrast to metamizole"	local:contrast_to	"metamizole"
17	"contrast to metamizole ibuprofen"	local:_ibuprofen	"contrast to metamizole"
17	"contrast to metamizole ibuprofen"	local:contrasttometamizole_	"ibuprofen"
17	"want"	vn.role:Theme	"compare"
17	"compare"	vn.role:Patient1	"we"
17	"compare"	vn.role:Patient2	"ibuprofen"
17	"compare"	local:AM-MNR	"contrast"
17	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
17	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
17	"compare"	vn.role:Agent	"metamizole ibuprofen"
17	"has"	vn.role:Experiencer	"ibuprofen"
17	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
17	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
17	"has"	vn.role:Experiencer	"metamizole ibuprofen"
17	"has"	local:AM-DIS	"also"
17	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
17	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
17	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
17	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
17	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
18	"want"	vn.role:Agent	"we"
18	"want"	local:AM-MOD	"may"
18	"similar in ibuprofen"	local:in_ibuprofen	"similar"
18	"similar in ibuprofen"	local:similar_in	"ibuprofen"
18	"want"	vn.role:Theme	"find"
18	"find"	vn.role:Theme	"drugs"
18	"find"	vn.role:Agent	"we"
18	"metamizole ibuprofen"	local:_ibuprofen	"metamizole"
18	"metamizole ibuprofen"	local:metamizole_	"ibuprofen"
18	"has"	vn.role:Experiencer	"metamizole ibuprofen"
18	"has"	local:AM-DIS	"also"
18	"considerable anti-inflammatory effect"	rdfs:subClassOf	"effect"
18	"considerable anti-inflammatory"	rdfs:subClassOf	"anti-inflammatory"
18	"anti-inflammatory effect"	rdfs:subClassOf	"effect"
18	"considerable anti-inflammatory effect"	rdfs:subClassOf	"anti-inflammatory effect"
18	"has"	vn.role:Stimulus	"considerable anti-inflammatory effect"
21	"however comparison"	rdfs:subClassOf	"comparison"
21	"depends"	vn.role:Theme	"however comparison"
21	"fixed set"	rdfs:subClassOf	"set"
21	"fixed set of aspects"	local:of_aspects	"fixed set"
21	"fixed set of aspects"	local:fixedset_of	"aspects"
21	"depends"	vn.role:Location	"fixed set of aspects"
23	"propose"	local:AM-LOC	"paper"
23	"propose"	vn.role:Agent	"we"
23	"domain-independent entity comparison"	rdfs:subClassOf	"comparison"
23	"rdf graphs"	rdfs:subClassOf	"graphs"
23	"entity comparison"	rdfs:subClassOf	"comparison"
23	"domain-independent entity"	rdfs:subClassOf	"entity"
23	"formal framework"	rdfs:subClassOf	"framework"
23	"domain-independent entity comparison"	rdfs:subClassOf	"entity comparison"
23	"formal framework for domain-independent entity comparison"	local:for_domain-independententitycomparison	"formal framework"
23	"formal framework for domain-independent entity comparison"	local:formalframework_for	"domain-independent entity comparison"
23	"domain-independent entity comparison over rdf graphs"	local:over_rdfgraphs	"domain-independent entity comparison"
23	"domain-independent entity comparison over rdf graphs"	local:domain-independententitycomparison_over	"rdf graphs"
23	"propose"	vn.role:Topic	"formal framework for domain-independent entity comparison"
24	"model"	vn.role:Agent	"we"
24	"sparql queries"	rdfs:subClassOf	"queries"
24	"certain additional"	rdfs:subClassOf	"additional"
24	"certain additional properties"	rdfs:subClassOf	"properties"
24	"additional properties"	rdfs:subClassOf	"properties"
24	"certain additional properties"	rdfs:subClassOf	"additional properties"
24	"certain additional properties"	rdfs:subClassOf	"additional properties"
24	"differences between entities"	local:between_entities	"differences"
24	"differences between entities"	local:differences_between	"entities"
24	"differences between entities as sparql queries"	local:as_sparqlqueries	"differences between entities"
24	"differences between entities as sparql queries"	local:differencesbetweenentities_as	"sparql queries"
24	"sparql queries satisfying"	local:_satisfying	"sparql queries"
24	"sparql queries satisfying"	local:sparqlqueries_	"satisfying"
24	"model"	vn.role:Theme	"differences between entities as sparql queries"
24	"certain additional"	rdfs:subClassOf	"additional"
24	"certain additional properties"	rdfs:subClassOf	"properties"
24	"additional properties"	rdfs:subClassOf	"properties"
24	"certain additional properties"	rdfs:subClassOf	"additional properties"
24	"satisfying"	vn.role:Cause	"certain additional properties"
24	"certain additional"	rdfs:subClassOf	"additional"
24	"certain additional properties"	rdfs:subClassOf	"properties"
24	"additional properties"	rdfs:subClassOf	"properties"
24	"certain additional properties"	rdfs:subClassOf	"additional properties"
24	"propose"	vn.role:Topic	"algorithms"
24	"computing"	vn.role:Agent	"algorithms"
24	"certain additional"	rdfs:subClassOf	"additional"
24	"certain additional properties"	rdfs:subClassOf	"properties"
24	"additional properties"	rdfs:subClassOf	"properties"
24	"certain additional properties"	rdfs:subClassOf	"additional properties"
24	"computing"	vn.role:Product	"certain additional properties"
25	"model"	vn.role:Agent	"we"
25	"sparql queries"	rdfs:subClassOf	"queries"
25	"certain additional"	rdfs:subClassOf	"additional"
25	"certain additional properties"	rdfs:subClassOf	"properties"
25	"additional properties"	rdfs:subClassOf	"properties"
25	"certain additional properties"	rdfs:subClassOf	"additional properties"
25	"certain additional properties"	rdfs:subClassOf	"additional properties"
25	"similarities between entities"	local:between_entities	"similarities"
25	"similarities between entities"	local:similarities_between	"entities"
25	"similarities between entities as sparql queries"	local:as_sparqlqueries	"similarities between entities"
25	"similarities between entities as sparql queries"	local:similaritiesbetweenentities_as	"sparql queries"
25	"sparql queries satisfying"	local:_satisfying	"sparql queries"
25	"sparql queries satisfying"	local:sparqlqueries_	"satisfying"
25	"model"	vn.role:Theme	"similarities between entities as sparql queries"
25	"certain additional"	rdfs:subClassOf	"additional"
25	"certain additional properties"	rdfs:subClassOf	"properties"
25	"additional properties"	rdfs:subClassOf	"properties"
25	"certain additional properties"	rdfs:subClassOf	"additional properties"
25	"satisfying"	vn.role:Cause	"certain additional properties"
25	"certain additional"	rdfs:subClassOf	"additional"
25	"certain additional properties"	rdfs:subClassOf	"properties"
25	"additional properties"	rdfs:subClassOf	"properties"
25	"certain additional properties"	rdfs:subClassOf	"additional properties"
25	"propose"	vn.role:Topic	"algorithms"
25	"computing"	vn.role:Agent	"algorithms"
25	"certain additional"	rdfs:subClassOf	"additional"
25	"certain additional properties"	rdfs:subClassOf	"properties"
25	"additional properties"	rdfs:subClassOf	"properties"
25	"certain additional properties"	rdfs:subClassOf	"additional properties"
25	"computing"	vn.role:Product	"certain additional properties"
