1	"chosen"	vn.role:Theme	"arbitrarily"
9	"semantic web"	rdfs:member	"semantic web names"
9	"semantic web names"	rdfs:subClassOf	"web names"
9	"meaning in semantic web names"	local:in_semanticwebnames	"meaning"
9	"meaning in semantic web names"	local:meaning_in	"semantic web names"
9	"quantify"	vn.role:Theme	"meaning in semantic web names"
11	"use"	local:AM-LOC	"paper"
11	"use"	vn.role:Agent	"we"
11	"mutual"	rdfs:member	"mutual information"
11	"mutual information"	rdfs:member	"mutual information content"
11	"information content"	rdfs:subClassOf	"content"
11	"mutual information content"	rdfs:subClassOf	"content"
11	"mutual information"	rdfs:subClassOf	"information"
11	"information"	rdfs:member	"information content"
11	"mutual information content"	rdfs:subClassOf	"information content"
11	"measures of mutual information content"	local:of_mutualinformationcontent	"measures"
11	"measures of mutual information content"	local:measures_of	"mutual information content"
11	"use"	vn.role:Theme	"measures of mutual information content"
12	"evaluate"	vn.role:Agent	"we"
12	"datasets approach"	rdfs:subClassOf	"approach"
12	"thousands datasets"	rdfs:subClassOf	"datasets"
12	"hundreds thousands"	rdfs:subClassOf	"thousands"
12	"evaluate"	vn.role:Theme	"datasets approach"
12	"approach"	rdfs:member	"approach efficacy"
12	"approach efficacy"	rdfs:subClassOf	"efficacy"
12	"evaluate"	local:AM-PNC	"order"
12	"illustrate"	vn.role:Agent	"we"
12	"approach"	rdfs:member	"approach efficacy"
12	"approach efficacy"	rdfs:subClassOf	"efficacy"
12	"illustrate"	vn.role:Theme	"approach efficacy"
13	"implement"	vn.role:Agent	"we"
13	"implement"	vn.role:Theme	"approach"
14	"confirm"	vn.role:Recipient	"experiments"
14	"many"	rdfs:member	"many semantic"
14	"quantitative"	rdfs:member	"quantitative lower"
14	"web"	rdfs:member	"web names"
14	"many semantic web"	rdfs:subClassOf	"web"
14	"many semantic web names"	rdfs:subClassOf	"names"
14	"web names"	rdfs:subClassOf	"names"
14	"semantic web"	rdfs:subClassOf	"web"
14	"semantic web"	rdfs:member	"semantic web names"
14	"many semantic web"	rdfs:member	"many semantic web names"
14	"semantic web names"	rdfs:subClassOf	"names"
14	"per-dataset"	rdfs:member	"per-dataset basis"
14	"quantitative lower"	rdfs:member	"quantitative lower bound"
14	"much meaning"	rdfs:subClassOf	"meaning"
14	"semantic"	rdfs:member	"semantic web"
14	"much"	rdfs:member	"much meaning"
14	"per-dataset basis"	rdfs:subClassOf	"basis"
14	"many semantic"	rdfs:member	"many semantic web"
14	"lower"	rdfs:member	"lower bound"
14	"many semantic"	rdfs:subClassOf	"semantic"
14	"lower bound"	rdfs:subClassOf	"bound"
14	"quantitative lower"	rdfs:subClassOf	"lower"
14	"quantitative lower bound"	rdfs:subClassOf	"bound"
14	"how much"	rdfs:subClassOf	"much"
14	"quantitative a"	rdfs:subClassOf	"a"
14	"interestingly provide"	rdfs:subClassOf	"provide"
14	"more interestingly"	rdfs:subClassOf	"interestingly"
14	"indeed meaningful"	rdfs:subClassOf	"meaningful"
14	"semantic web names"	rdfs:subClassOf	"web names"
14	"many semantic web names"	rdfs:subClassOf	"semantic web names"
14	"encoded in names"	local:in_names	"encoded"
14	"encoded in names"	local:encoded_in	"names"
14	"encoded in names on per-dataset basis"	local:on_per-datasetbasis	"encoded in names"
14	"encoded in names on per-dataset basis"	local:encodedinnames_on	"per-dataset basis"
14	"confirm"	vn.role:Cause	"indeed meaningful"
14	"provide"	vn.role:Recipient	"we"
14	"lower bound"	rdfs:subClassOf	"bound"
14	"much"	rdfs:member	"much meaning"
14	"per-dataset basis"	rdfs:subClassOf	"basis"
14	"per-dataset"	rdfs:member	"per-dataset basis"
14	"quantitative"	rdfs:member	"quantitative lower"
14	"quantitative lower"	rdfs:subClassOf	"lower"
14	"lower"	rdfs:member	"lower bound"
14	"quantitative lower bound"	rdfs:subClassOf	"bound"
14	"quantitative lower"	rdfs:member	"quantitative lower bound"
14	"much meaning"	rdfs:subClassOf	"meaning"
14	"how much"	rdfs:subClassOf	"much"
14	"encoded in names"	local:in_names	"encoded"
14	"encoded in names"	local:encoded_in	"names"
14	"encoded in names on per-dataset basis"	local:on_per-datasetbasis	"encoded in names"
14	"encoded in names on per-dataset basis"	local:encodedinnames_on	"per-dataset basis"
14	"provide"	vn.role:Agent	"quantitative"
14	"much meaning"	rdfs:subClassOf	"meaning"
14	"much"	rdfs:member	"much meaning"
14	"encoded"	vn.role:Patient	"much meaning"
14	"per-dataset basis"	rdfs:subClassOf	"basis"
14	"per-dataset"	rdfs:member	"per-dataset basis"
14	"names on per-dataset basis"	local:on_per-datasetbasis	"names"
14	"names on per-dataset basis"	local:names_on	"per-dataset basis"
14	"encoded"	local:AM-LOC	"names on per-dataset basis"
17	"first paper"	rdfs:subClassOf	"paper"
17	"first"	rdfs:member	"first paper"
17	"uses"	vn.role:Agent	"first paper"
17	"statistical model"	rdfs:subClassOf	"model"
17	"statistical"	rdfs:member	"statistical model"
17	"uses"	vn.role:Theme	"statistical model"
17	"semantic"	rdfs:member	"semantic web"
17	"web context"	rdfs:subClassOf	"context"
17	"web"	rdfs:member	"web context"
17	"semantic web context"	rdfs:subClassOf	"context"
17	"semantic web"	rdfs:subClassOf	"web"
17	"semantic web"	rdfs:member	"semantic web context"
17	"semantic web context"	rdfs:subClassOf	"web context"
17	"learning as method"	local:as_method	"learning"
17	"learning as method"	local:learning_as	"method"
17	"meaning in semantic web context"	local:in_semanticwebcontext	"meaning"
17	"meaning in semantic web context"	local:meaning_in	"semantic web context"
17	"uses"	vn.role:Recipient	"learning as method"
17	"first paper"	rdfs:subClassOf	"paper"
17	"statistical"	rdfs:member	"statistical model"
17	"statistical model"	rdfs:subClassOf	"model"
17	"first"	rdfs:member	"first paper"
17	"learning"	vn.role:Agent	"first paper"
17	"learning"	vn.role:Theme	"method"
17	"semantic"	rdfs:member	"semantic web"
17	"web context"	rdfs:subClassOf	"context"
17	"web"	rdfs:member	"web context"
17	"semantic web context"	rdfs:subClassOf	"context"
17	"semantic web"	rdfs:subClassOf	"web"
17	"semantic web"	rdfs:member	"semantic web context"
17	"semantic web context"	rdfs:subClassOf	"web context"
17	"meaning in semantic web context"	local:in_semanticwebcontext	"meaning"
17	"meaning in semantic web context"	local:meaning_in	"semantic web context"
17	"learning"	local:AM-PNC	"quantify"
17	"semantic"	rdfs:member	"semantic web"
17	"web context"	rdfs:subClassOf	"context"
17	"web"	rdfs:member	"web context"
17	"semantic web context"	rdfs:subClassOf	"context"
17	"semantic web"	rdfs:subClassOf	"web"
17	"semantic web"	rdfs:member	"semantic web context"
17	"semantic web context"	rdfs:subClassOf	"web context"
17	"meaning in semantic web context"	local:in_semanticwebcontext	"meaning"
17	"meaning in semantic web context"	local:meaning_in	"semantic web context"
17	"quantify"	vn.role:Theme	"meaning in semantic web context"
20	"semantic"	rdfs:member	"semantic web"
20	"semantic web"	rdfs:member	"semantic web tools"
20	"web"	rdfs:member	"web tools"
20	"semantic web tools"	rdfs:subClassOf	"tools"
20	"web tools"	rdfs:subClassOf	"tools"
20	"semantic web"	rdfs:subClassOf	"web"
20	"semantic web tools"	rdfs:subClassOf	"web tools"
20	"take"	vn.role:Agent	"semantic web tools"
20	"social"	rdfs:member	"social meaning"
20	"social meaning"	rdfs:subClassOf	"meaning"
20	"take"	vn.role:Theme	"social meaning"
20	"take"	vn.role:Source	"account"
