0	"increasing"	vn.role:Attribute	"number"
3	"re-computation of duplicates"	local:of_duplicates	"re-computation"
3	"re-computation of duplicates"	local:re-computation_of	"duplicates"
3	"avoid at multiple time points"	local:at_multipletimepoints	"avoid"
3	"avoid at multiple time points"	local:avoid_at	"multiple time points"
3	"implements"	vn.role:Theme	"novel evaluation procedure"
3	"novel evaluation procedure"	rdfs:subClassOf	"procedure"
3	"novel evaluation"	rdfs:subClassOf	"evaluation"
3	"evaluation procedure"	rdfs:subClassOf	"procedure"
3	"novel evaluation procedure"	rdfs:subClassOf	"evaluation procedure"
3	"avoid"	vn.role:Agent	"novel evaluation procedure"
3	"re-computation of duplicates"	local:of_duplicates	"re-computation"
3	"re-computation of duplicates"	local:re-computation_of	"duplicates"
3	"avoid"	vn.role:Location	"re-computation of duplicates"
4	"novel evaluation procedure"	rdfs:subClassOf	"procedure"
4	"novel evaluation"	rdfs:subClassOf	"evaluation"
4	"evaluation procedure"	rdfs:subClassOf	"procedure"
4	"novel evaluation procedure"	rdfs:subClassOf	"evaluation procedure"
4	"avoid"	vn.role:Agent	"novel evaluation procedure"
4	"time points"	rdfs:subClassOf	"points"
4	"multiple time"	rdfs:subClassOf	"time"
4	"multiple time points"	rdfs:subClassOf	"points"
4	"re-computation of duplicates"	local:of_duplicates	"re-computation"
4	"re-computation of duplicates"	local:re-computation_of	"duplicates"
4	"re-computation of duplicates at multiple time"	local:at_multipletime	"re-computation of duplicates"
4	"re-computation of duplicates at multiple time"	local:re-computationofduplicates_at	"multiple time"
4	"avoid"	vn.role:Location	"re-computation of duplicates at multiple time"
4	"solver clingo"	rdfs:subClassOf	"clingo"
4	"programming solver clingo"	rdfs:subClassOf	"solver clingo"
4	"runs"	vn.role:Theme	"programming solver clingo"
5	"opens"	vn.role:Theme	"this"
5	"opens"	vn.role:Location	"door"
5	"use cases"	rdfs:subClassOf	"cases"
5	"wider range"	rdfs:subClassOf	"range"
5	"stream reasoning use"	rdfs:subClassOf	"use"
5	"stream reasoning"	rdfs:subClassOf	"reasoning"
5	"reasoning use cases"	rdfs:subClassOf	"cases"
5	"reasoning use"	rdfs:subClassOf	"use"
5	"stream reasoning use cases"	rdfs:subClassOf	"cases"
5	"reasoning use cases"	rdfs:subClassOf	"use cases"
5	"stream reasoning use cases"	rdfs:subClassOf	"reasoning use cases"
5	"wider range of stream reasoning use cases"	local:of_streamreasoningusecases	"wider range"
5	"wider range of stream reasoning use cases"	local:widerrange_of	"stream reasoning use cases"
5	"opens"	vn.role:indirect_object	"wider range of stream reasoning use cases"
6	"enables"	vn.role:Agent	"this"
6	"logic-based reasoning"	rdfs:subClassOf	"reasoning"
6	"expressive logic-based reasoning"	rdfs:subClassOf	"reasoning"
6	"large streams"	rdfs:subClassOf	"streams"
6	"expressive logic-based"	rdfs:subClassOf	"logic-based"
6	"expressive logic-based reasoning"	rdfs:subClassOf	"logic-based reasoning"
6	"application of expressive logic-based reasoning"	local:of_expressivelogic-basedreasoning	"application"
6	"application of expressive logic-based reasoning"	local:application_of	"expressive logic-based reasoning"
6	"application of expressive logic-based reasoning to large streams"	local:to_largestreams	"application of expressive logic-based reasoning"
6	"application of expressive logic-based reasoning to large streams"	local:applicationofexpressivelogic-basedreasoning_to	"large streams"
6	"enables"	vn.role:Patient	"application of expressive logic-based reasoning to large streams"
