6	"present"	local:AM-LOC	"paper"
12	"webode"	rdfs:member	"webode ontology"
12	"ontology"	rdfs:member	"ontology engineering"
12	"development tools"	rdfs:subClassOf	"tools"
12	"ontology development tools"	rdfs:subClassOf	"tools"
12	"ontology"	rdfs:member	"ontology development"
12	"webode ontology engineering"	rdfs:subClassOf	"engineering"
12	"ontology engineering"	rdfs:subClassOf	"engineering"
12	"webode ontology"	rdfs:subClassOf	"ontology"
12	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
12	"engineering workbench"	rdfs:subClassOf	"workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
12	"ontology development tools"	rdfs:subClassOf	"development tools"
12	"scalability of ontology development tools"	local:of_ontologydevelopmenttools	"scalability"
12	"scalability of ontology development tools"	local:scalability_of	"ontology development tools"
12	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
12	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
12	"used"	vn.role:Recipient	"improve"
12	"improve"	vn.role:Agent	"benchmarking"
12	"ontology development"	rdfs:member	"ontology development tools"
12	"development"	rdfs:member	"development tools"
12	"ontology development"	rdfs:subClassOf	"development"
12	"development tools"	rdfs:subClassOf	"tools"
12	"ontology development tools"	rdfs:subClassOf	"tools"
12	"ontology"	rdfs:member	"ontology development"
12	"ontology development tools"	rdfs:subClassOf	"development tools"
12	"scalability of ontology development tools"	local:of_ontologydevelopmenttools	"scalability"
12	"scalability of ontology development tools"	local:scalability_of	"ontology development tools"
12	"improve"	vn.role:Patient	"scalability of ontology development tools"
12	"webode ontology"	rdfs:member	"webode ontology engineering"
12	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"engineering"	rdfs:member	"engineering workbench"
12	"ontology engineering"	rdfs:member	"ontology engineering workbench"
12	"webode"	rdfs:member	"webode ontology"
12	"ontology"	rdfs:member	"ontology engineering"
12	"webode ontology engineering"	rdfs:subClassOf	"engineering"
12	"ontology engineering"	rdfs:subClassOf	"engineering"
12	"webode ontology"	rdfs:subClassOf	"ontology"
12	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
12	"engineering workbench"	rdfs:subClassOf	"workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
12	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
12	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
12	"improve"	local:AM-PNC	"evaluating"
12	"webode ontology"	rdfs:member	"webode ontology engineering"
12	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"engineering"	rdfs:member	"engineering workbench"
12	"ontology engineering"	rdfs:member	"ontology engineering workbench"
12	"webode"	rdfs:member	"webode ontology"
12	"ontology"	rdfs:member	"ontology engineering"
12	"webode ontology engineering"	rdfs:subClassOf	"engineering"
12	"ontology engineering"	rdfs:subClassOf	"engineering"
12	"webode ontology"	rdfs:subClassOf	"ontology"
12	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
12	"engineering workbench"	rdfs:subClassOf	"workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
12	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
12	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
12	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
12	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
12	"evaluating"	vn.role:Theme	"api of webode ontology engineering workbench"
13	"present"	vn.role:Agent	"we"
13	"present"	local:AM-DIS	"also"
13	"benchmarking methodology"	rdfs:subClassOf	"methodology"
13	"benchmarking"	rdfs:member	"benchmarking methodology"
13	"present"	vn.role:Theme	"results"
13	"applying"	vn.role:Agent	"we"
13	"applying"	vn.role:Theme	"benchmarking"
14	"used"	vn.role:Theme	"benchmarking"
14	"webode ontology"	rdfs:member	"webode ontology engineering"
14	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"engineering"	rdfs:member	"engineering workbench"
14	"ontology engineering"	rdfs:member	"ontology engineering workbench"
14	"webode"	rdfs:member	"webode ontology"
14	"ontology"	rdfs:member	"ontology engineering"
14	"webode ontology engineering"	rdfs:subClassOf	"engineering"
14	"ontology engineering"	rdfs:subClassOf	"engineering"
14	"webode ontology"	rdfs:subClassOf	"ontology"
14	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
14	"engineering workbench"	rdfs:subClassOf	"workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
14	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
14	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
14	"used"	vn.role:Recipient	"improve"
14	"improve"	vn.role:Agent	"benchmarking"
14	"webode ontology"	rdfs:member	"webode ontology engineering"
14	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"engineering"	rdfs:member	"engineering workbench"
14	"ontology engineering"	rdfs:member	"ontology engineering workbench"
14	"webode"	rdfs:member	"webode ontology"
14	"ontology"	rdfs:member	"ontology engineering"
14	"webode ontology engineering"	rdfs:subClassOf	"engineering"
14	"ontology engineering"	rdfs:subClassOf	"engineering"
14	"webode ontology"	rdfs:subClassOf	"ontology"
14	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
14	"engineering workbench"	rdfs:subClassOf	"workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
14	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
14	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
14	"improve"	vn.role:Patient	"performance"
14	"webode ontology"	rdfs:member	"webode ontology engineering"
14	"ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"engineering"	rdfs:member	"engineering workbench"
14	"ontology engineering"	rdfs:member	"ontology engineering workbench"
14	"webode"	rdfs:member	"webode ontology"
14	"ontology"	rdfs:member	"ontology engineering"
14	"webode ontology engineering"	rdfs:subClassOf	"engineering"
14	"ontology engineering"	rdfs:subClassOf	"engineering"
14	"webode ontology"	rdfs:subClassOf	"ontology"
14	"webode ontology engineering"	rdfs:member	"webode ontology engineering workbench"
14	"engineering workbench"	rdfs:subClassOf	"workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"workbench"
14	"ontology engineering workbench"	rdfs:subClassOf	"engineering workbench"
14	"webode ontology engineering workbench"	rdfs:subClassOf	"ontology engineering workbench"
14	"api of webode ontology engineering workbench"	local:of_webodeontologyengineeringworkbench	"api"
14	"api of webode ontology engineering workbench"	local:api_of	"webode ontology engineering workbench"
14	"evaluating"	vn.role:Theme	"api of webode ontology engineering workbench"
