0	"The defining features of Alzheimer disease "	"include"	"conspicuous changes in brain behavior. "
16	"steadily "	"accumulating"	"body "
17	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
17	"into the diseased state "	"drive"	"healthy neurons "
17	"soluble forms of both Amyloid-Beta work together, independently of soluble forms of Amyloid-Beta work together "	"accumulation"	"to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
17	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both Amyloid-Beta work together, independently of soluble forms of Amyloid-Beta work together accumulation into tangles, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
17	"steadily "	"accumulating"	"body "
18	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
18	"into the diseased state "	"drive"	"healthy neurons "
18	"soluble forms of both Amyloid-Beta work together, independently of soluble forms of tau work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into tangles, "
18	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both Amyloid-Beta work together, independently of soluble forms of tau work together accumulation into tangles, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
18	"steadily "	"accumulating"	"body "
19	"hallmark toxic properties of both Amyloid-Beta "	"require"	"tau. "
19	"into the diseased state "	"drive"	"healthy neurons "
19	"soluble forms of both Amyloid-Beta work together, independently of soluble forms of tau work together to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "	"accumulation"	"into plaques, "
19	"years, a steadily accumulating body of evidence "	"indicated"	"that soluble forms of both Amyloid-Beta work together, independently of soluble forms of tau work together accumulation into plaques, to drive healthy neurons into the diseased state and that hallmark toxic properties of both Amyloid-Beta require tau. "
19	"steadily "	"accumulating"	"body "
20	"ectopic cell cycle reentry "	"following"	"instance, delayed neuron death "
20	"by Amyloid-Beta species. "	"triggered"	"For instance, delayed neuron death following ectopic cell cycle reentry "
21	"ectopic cell cycle reentry "	"following"	"instance, delayed neuron death "
21	"by soluble species. "	"triggered"	"For instance, delayed neuron death following ectopic cell cycle reentry "
22	"ectopic cell cycle reentry "	"following"	"instance, delayed neuron death "
22	"by extracellular species. "	"triggered"	"For instance, delayed neuron death following ectopic cell cycle reentry "
23	"ectopic cell cycle reentry "	"following"	"instance, delayed neuron death "
24	"by soluble species. "	"triggered"	"For instance, delayed neuron death following synaptic dysfunction "
25	"by extracellular species. "	"triggered"	"For instance, delayed neuron death following synaptic dysfunction "
26	"by Amyloid-Beta species. "	"triggered"	"For instance, delayed neuron death following synaptic dysfunction "
27	"For instance, delayed neuron death following synaptic dysfunction "	"depend"	"on soluble, cytoplasmic tau. "
28	"toxic tau "	"enhances"	"both Amyloid-Beta toxicity "
29	"toxic tau "	"enhances"	"both Amyloid-Beta toxicity "
29	"Therefore, both Amyloid-Beta "	"triggers"	"the conversion of tau from a normal to a toxic state, "
30	"soluble toxic aggregates of both can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species "
30	"soluble toxic aggregates of both by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
30	"from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"soluble toxic aggregates of both can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
31	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of both can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
31	"soluble toxic aggregates of both by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
31	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
32	"evident. "	"become"	"soluble toxic aggregates of both can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
32	"soluble toxic aggregates of both by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
33	"evident. "	"become"	"soluble toxic aggregates of both can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
33	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of both "
34	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of both can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
34	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of both "
34	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
35	"from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"soluble toxic aggregates of both can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
35	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of both "
35	"soluble toxic aggregates of both can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species "
36	"from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"soluble toxic aggregates of Amyloid-Beta can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
36	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of Amyloid-Beta "
36	"soluble toxic aggregates of Amyloid-Beta can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species before plaques, tangles,. "
37	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of Amyloid-Beta can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer Disease "
37	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer Disease "	"spread"	"soluble toxic aggregates of Amyloid-Beta "
37	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
38	"evident. "	"become"	"soluble toxic aggregates of Amyloid-Beta can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
38	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of Amyloid-Beta "
39	"evident. "	"become"	"soluble toxic aggregates of Amyloid-Beta can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
39	"soluble toxic aggregates of Amyloid-Beta by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
40	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of Amyloid-Beta can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
40	"soluble toxic aggregates of Amyloid-Beta by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
40	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
41	"soluble toxic aggregates of Amyloid-Beta can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species before plaques, tangles,. "
41	"soluble toxic aggregates of Amyloid-Beta by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
41	"from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"soluble toxic aggregates of Amyloid-Beta can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
42	"soluble toxic aggregates of both both tau can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species "
42	"soluble toxic aggregates of both both tau by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
42	"soluble toxic aggregates of both both tau can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"{'A0': 'soluble toxic aggregates of both both tau can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. ', 'AM-MOD': 'would '}"
43	"evident. "	"become"	"soluble toxic aggregates of both both tau can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
43	"soluble toxic aggregates of both both tau by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
44	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of both both tau can self-propagate throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
44	"soluble toxic aggregates of both both tau by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"self-propagate"	"throughout the brain "
44	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
45	"from interfering with the destructive biochemical pathways that soluble, extracellular Amyloid-Beta species initiate. "	"become"	"soluble toxic aggregates of both both tau can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
45	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of both both tau "
45	"the destructive biochemical pathways "	"soluble,"	"extracellular Amyloid-Beta species initiate. "
46	"evident. "	"become"	"soluble toxic aggregates of both both tau can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
46	"by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"soluble toxic aggregates of both both tau "
47	"from detecting soluble, extracellular Amyloid-Beta species before plaques, tangles,. "	"benefit"	"soluble toxic aggregates of both both tau can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "
47	"soluble toxic aggregates of both both tau by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"spread"	"{'A0': 'soluble toxic aggregates of both both tau by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease ', 'AM-LOC': 'throughout the brain ', 'AM-MOD': 'can '}"
47	"soluble toxic aggregates of both both tau can spread throughout the brain by prionlike mechanisms, successful therapeutic intervention for Alzheimer disease "	"detecting"	"soluble, extracellular Amyloid-Beta species "
