0	"ontology alignment"	rdfs:subClassOf	"alignment"
15	"composition operation"	rdfs:subClassOf	"operation"
15	"sound composition"	rdfs:member	"sound composition operation"
15	"sound composition operation"	rdfs:subClassOf	"operation"
15	"sound composition operation"	rdfs:subClassOf	"composition operation"
15	"can offer"	rdfs:subClassOf	"offer"
15	"two variants"	rdfs:subClassOf	"variants"
15	"first two variants"	rdfs:subClassOf	"two variants"
15	"show"	vn.role:Theme	"can offer"
15	"two variants"	rdfs:subClassOf	"variants"
15	"first two variants"	rdfs:subClassOf	"two variants"
15	"offer"	vn.role:Agent	"first two variants"
15	"offer"	local:AM-MOD	"can"
15	"sound"	rdfs:member	"sound composition"
15	"composition"	rdfs:member	"composition operation"
15	"sound composition"	rdfs:subClassOf	"composition"
15	"composition operation"	rdfs:subClassOf	"operation"
15	"sound composition"	rdfs:member	"sound composition operation"
15	"sound composition operation"	rdfs:subClassOf	"operation"
15	"sound composition operation"	rdfs:subClassOf	"composition operation"
15	"offer"	vn.role:Theme	"sound composition operation"
