0	"increasing"	vn.role:Attribute	"awareness"
5	"meaningful"	rdfs:member	"meaningful modules"
5	"meaningful modules"	rdfs:subClassOf	"modules"
5	"sets of meaningful modules"	local:of_meaningfulmodules	"sets"
5	"sets of meaningful modules"	local:sets_of	"meaningful modules"
5	"partitioning"	local:AM-MNR	"sets of meaningful modules"
6	"handling"	vn.role:object	"them"
6	"software engineering"	rdfs:subClassOf	"engineering"
6	"serious problems"	rdfs:subClassOf	"problems"
6	"serious"	rdfs:member	"serious problems"
6	"software"	rdfs:member	"software engineering"
6	"engineering serious problems"	rdfs:subClassOf	"serious problems"
6	"software engineering serious problems"	rdfs:subClassOf	"engineering serious problems"
6	"areas software engineering serious problems"	local:_softwareengineeringseriousproblems	"areas"
6	"areas software engineering serious problems"	local:areas_	"software engineering serious problems"
6	"tackled"	local:AM-LOC	"areas software engineering serious problems"
6	"tackled"	vn.role:Theme	"them"
6	"monolithic entities"	rdfs:subClassOf	"entities"
6	"monolithic"	rdfs:member	"monolithic entities"
6	"tackled"	vn.role:Agent	"partitioning"
6	"mostly self-contained"	rdfs:subClassOf	"self-contained"
6	"mostly"	rdfs:member	"mostly self-contained"
6	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
6	"self-contained modules"	rdfs:subClassOf	"modules"
6	"self-contained"	rdfs:member	"self-contained modules"
6	"mostly self-contained modules"	rdfs:subClassOf	"modules"
6	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
6	"sets of self-contained modules"	local:sets_of	"self-contained modules"
6	"tackled"	vn.role:Instrument	"sets of self-contained modules"
6	"monolithic entities"	rdfs:subClassOf	"entities"
6	"mostly self-contained"	rdfs:subClassOf	"self-contained"
6	"mostly"	rdfs:member	"mostly self-contained"
6	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
6	"monolithic"	rdfs:member	"monolithic entities"
6	"self-contained modules"	rdfs:subClassOf	"modules"
6	"self-contained"	rdfs:member	"self-contained modules"
6	"mostly self-contained modules"	rdfs:subClassOf	"modules"
6	"monolithic entities into sets"	local:into_sets	"monolithic entities"
6	"monolithic entities into sets"	local:monolithicentities_into	"sets"
6	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
6	"sets of self-contained modules"	local:sets_of	"self-contained modules"
6	"partitioning"	vn.role:Patient	"monolithic entities into sets"
7	"cause"	local:AM-LOC	"areas"
7	"monolithic character"	rdfs:subClassOf	"character"
7	"monolithic"	rdfs:member	"monolithic character"
7	"cause"	vn.role:Theme1	"monolithic character"
7	"monolithic entities"	rdfs:subClassOf	"entities"
7	"mostly self-contained"	rdfs:subClassOf	"self-contained"
7	"mostly"	rdfs:member	"mostly self-contained"
7	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
7	"serious problems"	rdfs:subClassOf	"problems"
7	"monolithic"	rdfs:member	"monolithic entities"
7	"serious"	rdfs:member	"serious problems"
7	"self-contained modules"	rdfs:subClassOf	"modules"
7	"self-contained"	rdfs:member	"self-contained modules"
7	"mostly self-contained modules"	rdfs:subClassOf	"modules"
7	"partitioning into sets"	local:into_sets	"partitioning"
7	"partitioning into sets"	local:partitioning_into	"sets"
7	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
7	"sets of self-contained modules"	local:sets_of	"self-contained modules"
7	"cause"	vn.role:Theme2	"tackled"
7	"handling"	vn.role:object	"them"
7	"monolithic character"	rdfs:subClassOf	"character"
7	"monolithic"	rdfs:member	"monolithic character"
7	"their monolithic character"	rdfs:subClassOf	"monolithic character"
7	"tackled"	local:AM-LOC	"their monolithic character"
7	"serious problems"	rdfs:subClassOf	"problems"
7	"serious"	rdfs:member	"serious problems"
7	"tackled"	vn.role:Theme	"serious problems"
7	"monolithic entities"	rdfs:subClassOf	"entities"
7	"monolithic"	rdfs:member	"monolithic entities"
7	"tackled"	vn.role:Agent	"partitioning"
7	"mostly self-contained"	rdfs:subClassOf	"self-contained"
7	"mostly"	rdfs:member	"mostly self-contained"
7	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
7	"self-contained modules"	rdfs:subClassOf	"modules"
7	"self-contained"	rdfs:member	"self-contained modules"
7	"mostly self-contained modules"	rdfs:subClassOf	"modules"
7	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
7	"sets of self-contained modules"	local:sets_of	"self-contained modules"
7	"tackled"	vn.role:Instrument	"sets of self-contained modules"
7	"monolithic entities"	rdfs:subClassOf	"entities"
7	"mostly self-contained"	rdfs:subClassOf	"self-contained"
7	"mostly"	rdfs:member	"mostly self-contained"
7	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
7	"monolithic"	rdfs:member	"monolithic entities"
7	"self-contained modules"	rdfs:subClassOf	"modules"
7	"self-contained"	rdfs:member	"self-contained modules"
7	"mostly self-contained modules"	rdfs:subClassOf	"modules"
7	"monolithic entities into sets"	local:into_sets	"monolithic entities"
7	"monolithic entities into sets"	local:monolithicentities_into	"sets"
7	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
7	"sets of self-contained modules"	local:sets_of	"self-contained modules"
7	"partitioning"	vn.role:Patient	"monolithic entities into sets"
8	"handling"	vn.role:Theme	"ontologies"
8	"handling"	vn.role:object	"them"
8	"areas ontologies"	rdfs:subClassOf	"ontologies"
8	"tackled"	local:AM-LOC	"areas ontologies"
8	"serious problems"	rdfs:subClassOf	"problems"
8	"serious"	rdfs:member	"serious problems"
8	"tackled"	vn.role:Theme	"serious problems"
8	"monolithic entities"	rdfs:subClassOf	"entities"
8	"monolithic"	rdfs:member	"monolithic entities"
8	"tackled"	vn.role:Agent	"partitioning"
8	"mostly self-contained"	rdfs:subClassOf	"self-contained"
8	"mostly"	rdfs:member	"mostly self-contained"
8	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
8	"self-contained modules"	rdfs:subClassOf	"modules"
8	"self-contained"	rdfs:member	"self-contained modules"
8	"mostly self-contained modules"	rdfs:subClassOf	"modules"
8	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
8	"sets of self-contained modules"	local:sets_of	"self-contained modules"
8	"tackled"	vn.role:Instrument	"sets of self-contained modules"
8	"monolithic entities"	rdfs:subClassOf	"entities"
8	"mostly self-contained"	rdfs:subClassOf	"self-contained"
8	"mostly"	rdfs:member	"mostly self-contained"
8	"mostly self-contained"	rdfs:member	"mostly self-contained modules"
8	"monolithic"	rdfs:member	"monolithic entities"
8	"self-contained modules"	rdfs:subClassOf	"modules"
8	"self-contained"	rdfs:member	"self-contained modules"
8	"mostly self-contained modules"	rdfs:subClassOf	"modules"
8	"monolithic entities into sets"	local:into_sets	"monolithic entities"
8	"monolithic entities into sets"	local:monolithicentities_into	"sets"
8	"sets of self-contained modules"	local:of_self-containedmodules	"sets"
8	"sets of self-contained modules"	local:sets_of	"self-contained modules"
8	"partitioning"	vn.role:Patient	"monolithic entities into sets"
9	"suggest"	local:AM-LOC	"paper"
9	"suggest"	vn.role:Theme	"we"
9	"similar approach"	rdfs:subClassOf	"approach"
9	"similar"	rdfs:member	"similar approach"
9	"similar approach for ontologies"	local:for_ontologies	"similar approach"
9	"similar approach for ontologies"	local:similarapproach_for	"ontologies"
9	"suggest"	vn.role:Agent	"similar approach for ontologies"
10	"smaller"	rdfs:member	"smaller modules"
10	"smaller modules"	rdfs:subClassOf	"modules"
10	"based"	vn.role:Cause	"smaller modules"
10	"class hierarchy"	rdfs:subClassOf	"hierarchy"
10	"class"	rdfs:member	"class hierarchy"
10	"structure of class hierarchy"	local:of_classhierarchy	"structure"
10	"structure of class hierarchy"	local:structure_of	"class hierarchy"
10	"based"	vn.role:indirect_object	"structure of class hierarchy"
11	"propose"	vn.role:Agent	"we"
11	"large ontologies"	rdfs:subClassOf	"ontologies"
11	"smaller"	rdfs:member	"smaller modules"
11	"large"	rdfs:member	"large ontologies"
11	"smaller modules"	rdfs:subClassOf	"modules"
11	"automatically partitioning"	rdfs:subClassOf	"partitioning"
11	"automatically partitioning into smaller modules"	local:into_smallermodules	"automatically partitioning"
11	"automatically partitioning into smaller modules"	local:automaticallypartitioning_into	"smaller modules"
11	"propose"	vn.role:Topic	"method"
11	"partitioning"	local:AM-MNR	"automatically"
11	"large ontologies"	rdfs:subClassOf	"ontologies"
11	"large"	rdfs:member	"large ontologies"
11	"partitioning"	vn.role:Patient	"large ontologies"
11	"smaller"	rdfs:member	"smaller modules"
11	"smaller modules"	rdfs:subClassOf	"modules"
11	"partitioning"	vn.role:Patient1	"smaller modules"
12	"show"	vn.role:Agent	"we"
12	"method performs"	rdfs:subClassOf	"performs"
12	"method"	rdfs:member	"method performs"
12	"structure-based method"	rdfs:subClassOf	"method"
12	"real-world ontologies"	rdfs:subClassOf	"ontologies"
12	"real-world"	rdfs:member	"real-world ontologies"
12	"structure-based method"	rdfs:member	"structure-based method performs"
12	"structure-based method performs"	rdfs:subClassOf	"performs"
12	"structure-based"	rdfs:member	"structure-based method"
12	"well performs"	rdfs:subClassOf	"performs"
12	"surprisingly well"	rdfs:subClassOf	"well"
12	"well performs on real-world ontologies"	local:on_real-worldontologies	"well performs"
12	"well performs on real-world ontologies"	local:wellperforms_on	"real-world ontologies"
12	"show"	vn.role:Theme	"well performs on real-world ontologies"
12	"structure-based method"	rdfs:subClassOf	"method"
12	"structure-based"	rdfs:member	"structure-based method"
12	"performs"	vn.role:Agent	"structure-based method"
12	"surprisingly well"	rdfs:subClassOf	"well"
12	"performs"	local:AM-MNR	"surprisingly well"
12	"real-world ontologies"	rdfs:subClassOf	"ontologies"
12	"real-world"	rdfs:member	"real-world ontologies"
12	"performs"	vn.role:Theme	"real-world ontologies"
13	"support"	vn.role:Theme	"we"
13	"support"	vn.role:Experiencer	"claim"
13	"support"	local:AM-TMP	"carried"
13	"carried"	vn.role:Agent	"experiments"
13	"carried"	vn.role:Theme	"on"
17	"support"	vn.role:Theme	"we"
17	"real-world ontologies"	rdfs:subClassOf	"ontologies"
17	"real-world"	rdfs:member	"real-world ontologies"
17	"claim by experiments"	local:by_experiments	"claim"
17	"claim by experiments"	local:claim_by	"experiments"
17	"carried on real-world ontologies"	local:on_real-worldontologies	"carried"
17	"carried on real-world ontologies"	local:carried_on	"real-world ontologies"
17	"support"	vn.role:Experiencer	"carried on real-world ontologies"
17	"carried"	vn.role:Theme	"experiments"
17	"real-world ontologies"	rdfs:subClassOf	"ontologies"
17	"real-world"	rdfs:member	"real-world ontologies"
17	"carried"	vn.role:Theme	"real-world ontologies"
