0	"increasing"	vn.role:Attribute	"availability"
0	"rdf"	rdfs:member	"rdf datasets"
0	"large rdf"	rdfs:subClassOf	"rdf"
0	"large rdf datasets"	rdfs:subClassOf	"datasets"
0	"large rdf datasets"	rdfs:subClassOf	"rdf datasets"
0	"increasing availability"	rdfs:subClassOf	"availability"
0	"increasing availability of large rdf datasets"	local:of_largerdfdatasets	"increasing availability"
0	"increasing availability of large rdf datasets"	local:increasingavailability_of	"large rdf datasets"
0	"build"	vn.role:Agent	"increasing availability of large rdf datasets"
0	"predictive models"	rdfs:subClassOf	"models"
0	"predictive"	rdfs:member	"predictive models"
0	"learning algorithms"	rdfs:subClassOf	"algorithms"
0	"machine learning algorithms"	rdfs:subClassOf	"learning algorithms"
0	"predictive models using"	local:_using	"predictive models"
0	"predictive models using"	local:predictivemodels_	"using"
0	"build"	vn.role:Material	"predictive models using"
0	"predictive models"	rdfs:subClassOf	"models"
0	"predictive"	rdfs:member	"predictive models"
0	"using"	vn.role:Agent	"predictive models"
0	"using"	vn.role:Theme	"machine"
0	"using"	vn.role:Recipient	"learning"
0	"learning"	vn.role:Agent	"machine"
0	"learning"	vn.role:Agent	"algorithms"
1	"distributed"	vn.role:Theme	"nature"
1	"massive"	rdfs:member	"massive size"
1	"distributed"	rdfs:member	"distributed nature"
1	"rdf data"	rdfs:subClassOf	"data"
1	"rdf"	rdfs:member	"rdf data"
1	"massive size"	rdfs:subClassOf	"size"
1	"distributed nature"	rdfs:subClassOf	"nature"
1	"massive size of rdf data"	local:of_rdfdata	"massive size"
1	"massive size of rdf data"	local:massivesize_of	"rdf data"
1	"calls"	vn.role:Agent	"however"
1	"sparql endpoint"	rdfs:subClassOf	"endpoint"
1	"rdf data"	rdfs:subClassOf	"data"
1	"rdf store"	rdfs:subClassOf	"store"
1	"sparql"	rdfs:member	"sparql endpoint"
1	"rdf"	rdfs:member	"rdf data"
1	"rdf"	rdfs:member	"rdf store"
1	"learning from rdf data"	local:from_rdfdata	"learning"
1	"learning from rdf data"	local:learning_from	"rdf data"
1	"rdf data in sparql endpoint"	local:in_sparqlendpoint	"rdf data"
1	"rdf data in sparql endpoint"	local:rdfdata_in	"sparql endpoint"
1	"sparql endpoint of rdf store"	local:of_rdfstore	"sparql endpoint"
1	"sparql endpoint of rdf store"	local:sparqlendpoint_of	"rdf store"
1	"calls"	vn.role:Cause	"approaches"
1	"learning"	vn.role:Agent	"approaches"
1	"sparql endpoint"	rdfs:subClassOf	"endpoint"
1	"rdf data"	rdfs:subClassOf	"data"
1	"rdf store"	rdfs:subClassOf	"store"
1	"sparql"	rdfs:member	"sparql endpoint"
1	"rdf"	rdfs:member	"rdf data"
1	"rdf"	rdfs:member	"rdf store"
1	"rdf data in sparql endpoint"	local:in_sparqlendpoint	"rdf data"
1	"rdf data in sparql endpoint"	local:rdfdata_in	"sparql endpoint"
1	"sparql endpoint of rdf store"	local:of_rdfstore	"sparql endpoint"
1	"sparql endpoint of rdf store"	local:sparqlendpoint_of	"rdf store"
1	"learning"	vn.role:Agent	"rdf data in sparql endpoint"
2	"accessed"	vn.role:Patient	"data"
2	"accessed"	local:AM-MOD	"can"
2	"query"	rdfs:member	"query interface"
2	"query interface"	rdfs:subClassOf	"interface"
2	"accessed"	local:AM-MNR	"query interface"
3	"distributed"	vn.role:Theme	"nature"
3	"massive"	rdfs:member	"massive size"
3	"distributed"	rdfs:member	"distributed nature"
3	"rdf data"	rdfs:subClassOf	"data"
3	"rdf"	rdfs:member	"rdf data"
3	"massive size"	rdfs:subClassOf	"size"
3	"distributed nature"	rdfs:subClassOf	"nature"
3	"massive size of rdf data"	local:of_rdfdata	"massive size"
3	"massive size of rdf data"	local:massivesize_of	"rdf data"
3	"calls"	vn.role:Agent	"however"
3	"rdf"	rdfs:member	"rdf data"
3	"rdf data"	rdfs:subClassOf	"data"
3	"learning from rdf data"	local:from_rdfdata	"learning"
3	"learning from rdf data"	local:learning_from	"rdf data"
3	"learning from rdf data in setting"	local:in_setting	"learning from rdf data"
3	"learning from rdf data in setting"	local:learningfromrdfdata_in	"setting"
3	"calls"	vn.role:Cause	"approaches"
3	"learning"	vn.role:Agent	"approaches"
3	"rdf"	rdfs:member	"rdf data"
3	"rdf data"	rdfs:subClassOf	"data"
3	"learning"	vn.role:Theme	"rdf data"
3	"learning"	local:AM-LOC	"setting"
5	"allow"	vn.role:Agent	"algorithms"
5	"predictive"	rdfs:member	"predictive model"
5	"predictive model"	rdfs:subClassOf	"model"
5	"allow"	vn.role:Theme	"predictive model"
5	"predictive"	rdfs:member	"predictive model"
5	"predictive model"	rdfs:subClassOf	"model"
5	"updated"	vn.role:Predicate	"predictive model"
5	"updated"	local:AM-MNR	"incrementally"
5	"response to changes"	local:to_changes	"response"
5	"response to changes"	local:response_to	"changes"
5	"changes in data"	local:in_data	"changes"
5	"changes in data"	local:changes_in	"data"
5	"updated"	local:AM-PNC	"response to changes"
7	"furthermore attributes"	rdfs:subClassOf	"attributes"
7	"furthermore attributes in applications"	local:in_applications	"furthermore attributes"
7	"furthermore attributes in applications"	local:furthermoreattributes_in	"applications"
7	"need"	vn.role:Agent	"furthermore attributes in applications"
7	"need"	local:AM-ADV	"hence"
7	"discovered by algorithm"	local:by_algorithm	"discovered"
7	"discovered by algorithm"	local:discovered_by	"algorithm"
7	"need"	vn.role:Patient	"discovered by algorithm"
7	"furthermore attributes"	rdfs:subClassOf	"attributes"
7	"furthermore attributes in applications"	local:in_applications	"furthermore attributes"
7	"furthermore attributes in applications"	local:furthermoreattributes_in	"applications"
7	"discovered"	vn.role:Theme	"furthermore attributes in applications"
7	"discovered"	vn.role:Agent	"algorithm"
9	"furthermore attributes"	rdfs:subClassOf	"attributes"
9	"furthermore attributes in applications"	local:in_applications	"furthermore attributes"
9	"furthermore attributes in applications"	local:furthermoreattributes_in	"applications"
9	"known"	vn.role:Predicate	"furthermore attributes in applications"
9	"known"	local:AM-NEG	"not"
9	"known"	vn.role:Theme	"priori"
10	"present"	vn.role:Agent	"we"
10	"bayesian classifiers"	rdfs:subClassOf	"classifiers"
10	"relational bayesian"	rdfs:member	"relational bayesian classifiers"
10	"rdf data"	rdfs:subClassOf	"data"
10	"relational bayesian classifiers"	rdfs:subClassOf	"classifiers"
10	"such scenarios"	rdfs:subClassOf	"scenarios"
10	"relational"	rdfs:member	"relational bayesian"
10	"such"	rdfs:member	"such scenarios"
10	"rdf"	rdfs:member	"rdf data"
10	"bayesian"	rdfs:member	"bayesian classifiers"
10	"relational bayesian"	rdfs:subClassOf	"bayesian"
10	"relational bayesian classifiers"	rdfs:subClassOf	"bayesian classifiers"
10	"learning from rdf data"	local:from_rdfdata	"learning"
10	"learning from rdf data"	local:learning_from	"rdf data"
10	"present"	vn.role:Theme	"approach"
10	"learning"	vn.role:Agent	"we"
10	"bayesian classifiers"	rdfs:subClassOf	"classifiers"
10	"relational bayesian"	rdfs:member	"relational bayesian classifiers"
10	"relational bayesian classifiers"	rdfs:subClassOf	"classifiers"
10	"relational"	rdfs:member	"relational bayesian"
10	"bayesian"	rdfs:member	"bayesian classifiers"
10	"relational bayesian"	rdfs:subClassOf	"bayesian"
10	"relational bayesian classifiers"	rdfs:subClassOf	"bayesian classifiers"
10	"learning"	vn.role:Theme	"relational bayesian classifiers"
10	"such"	rdfs:member	"such scenarios"
10	"rdf"	rdfs:member	"rdf data"
10	"rdf data"	rdfs:subClassOf	"data"
10	"such scenarios"	rdfs:subClassOf	"scenarios"
10	"learning"	vn.role:other	"rdf data"
10	"rdf"	rdfs:member	"rdf data"
10	"rdf data"	rdfs:subClassOf	"data"
10	"addresses"	vn.role:Agent	"rdf data"
10	"addresses"	vn.role:Theme	"scenarios"
11	"show"	vn.role:Agent	"specifically"
11	"build"	rdfs:member	"build relational"
11	"build relational"	rdfs:member	"build relational bayesian"
11	"sparql endpoint"	rdfs:subClassOf	"endpoint"
11	"bayesian classifiers"	rdfs:subClassOf	"classifiers"
11	"relational bayesian"	rdfs:member	"relational bayesian classifiers"
11	"build relational bayesian"	rdfs:member	"build relational bayesian classifiers"
11	"rdf data"	rdfs:subClassOf	"data"
11	"statistical queries"	rdfs:subClassOf	"queries"
11	"build relational bayesian"	rdfs:subClassOf	"bayesian"
11	"relational bayesian classifiers"	rdfs:subClassOf	"classifiers"
11	"relational"	rdfs:member	"relational bayesian"
11	"build relational bayesian classifiers"	rdfs:subClassOf	"classifiers"
11	"sparql"	rdfs:member	"sparql endpoint"
11	"rdf"	rdfs:member	"rdf data"
11	"rdf store"	rdfs:subClassOf	"store"
11	"bayesian"	rdfs:member	"bayesian classifiers"
11	"relational bayesian"	rdfs:subClassOf	"bayesian"
11	"statistical"	rdfs:member	"statistical queries"
11	"rdf"	rdfs:member	"rdf store"
11	"build relational"	rdfs:subClassOf	"relational"
11	"relational bayesian classifiers"	rdfs:subClassOf	"bayesian classifiers"
11	"build from rdf data"	local:from_rdfdata	"build"
11	"build from rdf data"	local:build_from	"rdf data"
11	"rdf data using"	local:_using	"rdf data"
11	"rdf data using"	local:rdfdata_	"using"
11	"using through sparql endpoint"	local:through_sparqlendpoint	"using"
11	"using through sparql endpoint"	local:using_through	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:of_rdfstore	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:sparqlendpoint_of	"rdf store"
11	"show"	vn.role:Theme	"build from rdf data"
11	"build"	vn.role:Agent	"specifically"
11	"bayesian classifiers"	rdfs:subClassOf	"classifiers"
11	"relational bayesian"	rdfs:member	"relational bayesian classifiers"
11	"rdf data"	rdfs:subClassOf	"data"
11	"relational bayesian classifiers"	rdfs:subClassOf	"classifiers"
11	"relational"	rdfs:member	"relational bayesian"
11	"rdf"	rdfs:member	"rdf data"
11	"bayesian"	rdfs:member	"bayesian classifiers"
11	"relational bayesian"	rdfs:subClassOf	"bayesian"
11	"relational bayesian classifiers"	rdfs:subClassOf	"bayesian classifiers"
11	"relational bayesian classifiers from rdf data"	local:from_rdfdata	"relational bayesian classifiers"
11	"relational bayesian classifiers from rdf data"	local:relationalbayesianclassifiers_from	"rdf data"
11	"build"	vn.role:Material	"relational bayesian classifiers from rdf data"
11	"sparql endpoint"	rdfs:subClassOf	"endpoint"
11	"statistical queries"	rdfs:subClassOf	"queries"
11	"rdf store"	rdfs:subClassOf	"store"
11	"sparql"	rdfs:member	"sparql endpoint"
11	"statistical"	rdfs:member	"statistical queries"
11	"rdf"	rdfs:member	"rdf store"
11	"using through sparql endpoint"	local:through_sparqlendpoint	"using"
11	"using through sparql endpoint"	local:using_through	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:of_rdfstore	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:sparqlendpoint_of	"rdf store"
11	"build"	local:AM-MNR	"using through sparql endpoint"
11	"statistical"	rdfs:member	"statistical queries"
11	"statistical queries"	rdfs:subClassOf	"queries"
11	"using"	vn.role:Theme	"statistical queries"
11	"sparql endpoint"	rdfs:subClassOf	"endpoint"
11	"rdf store"	rdfs:subClassOf	"store"
11	"rdf"	rdfs:member	"rdf store"
11	"sparql"	rdfs:member	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:of_rdfstore	"sparql endpoint"
11	"sparql endpoint of rdf store"	local:sparqlendpoint_of	"rdf store"
11	"using"	vn.role:Recipient	"sparql endpoint of rdf store"
12	"compare"	vn.role:Patient1	"we"
12	"communication complexity"	rdfs:subClassOf	"complexity"
12	"communication"	rdfs:member	"communication complexity"
12	"compare"	vn.role:Patient2	"communication complexity"
12	"compare"	vn.role:Agent	"one"
13	"requires"	vn.role:Agent	"one"
13	"centralized access"	rdfs:subClassOf	"access"
13	"direct centralized access"	rdfs:subClassOf	"centralized access"
13	"direct centralized access to data"	local:to_data	"direct centralized access"
13	"direct centralized access to data"	local:directcentralizedaccess_to	"data"
13	"requires"	vn.role:Patient	"direct centralized access to data"
14	"retrieve"	vn.role:Agent	"one"
14	"entire rdf dataset"	rdfs:subClassOf	"dataset"
14	"remote location"	rdfs:subClassOf	"location"
14	"entire rdf"	rdfs:subClassOf	"rdf"
14	"remote"	rdfs:member	"remote location"
14	"entire"	rdfs:member	"entire rdf"
14	"rdf"	rdfs:member	"rdf dataset"
14	"rdf dataset"	rdfs:subClassOf	"dataset"
14	"entire rdf"	rdfs:member	"entire rdf dataset"
14	"entire rdf dataset"	rdfs:subClassOf	"rdf dataset"
14	"entire rdf dataset from remote location"	local:from_remotelocation	"entire rdf dataset"
14	"entire rdf dataset from remote location"	local:entirerdfdataset_from	"remote location"
14	"remote location for processing"	local:for_processing	"remote location"
14	"remote location for processing"	local:remotelocation_for	"processing"
14	"retrieve"	vn.role:Theme	"entire rdf dataset from remote location"
15	"establish"	vn.role:Recipient	"we"
15	"establish"	vn.role:Cause	"conditions"
16	"classifier"	rdfs:member	"classifier models"
16	"bayesian classifier models"	rdfs:subClassOf	"models"
16	"relational bayesian"	rdfs:member	"relational bayesian classifier"
16	"bayesian"	rdfs:member	"bayesian classifier"
16	"bayesian classifier"	rdfs:subClassOf	"classifier"
16	"relational bayesian classifier"	rdfs:subClassOf	"classifier"
16	"relational bayesian classifier"	rdfs:member	"relational bayesian classifier models"
16	"relational"	rdfs:member	"relational bayesian"
16	"classifier models"	rdfs:subClassOf	"models"
16	"bayesian classifier"	rdfs:member	"bayesian classifier models"
16	"relational bayesian classifier models"	rdfs:subClassOf	"models"
16	"relational bayesian"	rdfs:subClassOf	"bayesian"
16	"bayesian classifier models"	rdfs:subClassOf	"classifier models"
16	"relational bayesian classifier models"	rdfs:subClassOf	"bayesian classifier models"
16	"conditions under which"	local:under_which	"conditions"
16	"conditions under which"	local:conditions_under	"which"
16	"updated"	vn.role:Predicate	"conditions under which"
16	"updated"	local:AM-MOD	"can"
16	"updated"	local:AM-MNR	"incrementally"
16	"rdf"	rdfs:member	"rdf data"
16	"rdf data"	rdfs:subClassOf	"data"
16	"response to addition"	local:to_addition	"response"
16	"response to addition"	local:response_to	"addition"
16	"addition of rdf data"	local:of_rdfdata	"addition"
16	"addition of rdf data"	local:addition_of	"rdf data"
16	"updated"	local:AM-PNC	"response to addition"
17	"classifier"	rdfs:member	"classifier models"
17	"bayesian classifier models"	rdfs:subClassOf	"models"
17	"relational bayesian"	rdfs:member	"relational bayesian classifier"
17	"bayesian"	rdfs:member	"bayesian classifier"
17	"bayesian classifier"	rdfs:subClassOf	"classifier"
17	"relational bayesian classifier"	rdfs:subClassOf	"classifier"
17	"relational bayesian classifier"	rdfs:member	"relational bayesian classifier models"
17	"relational"	rdfs:member	"relational bayesian"
17	"classifier models"	rdfs:subClassOf	"models"
17	"bayesian classifier"	rdfs:member	"bayesian classifier models"
17	"relational bayesian classifier models"	rdfs:subClassOf	"models"
17	"relational bayesian"	rdfs:subClassOf	"bayesian"
17	"bayesian classifier models"	rdfs:subClassOf	"classifier models"
17	"relational bayesian classifier models"	rdfs:subClassOf	"bayesian classifier models"
17	"conditions under which"	local:under_which	"conditions"
17	"conditions under which"	local:conditions_under	"which"
17	"updated"	vn.role:Predicate	"conditions under which"
17	"updated"	local:AM-MOD	"can"
17	"updated"	local:AM-MNR	"incrementally"
17	"rdf"	rdfs:member	"rdf data"
17	"rdf data"	rdfs:subClassOf	"data"
17	"response to deletion"	local:to_deletion	"response"
17	"response to deletion"	local:response_to	"deletion"
17	"deletion of rdf data"	local:of_rdfdata	"deletion"
17	"deletion of rdf data"	local:deletion_of	"rdf data"
17	"updated"	local:AM-MNR	"response to deletion"
18	"show"	vn.role:Agent	"we"
18	"rdf"	rdfs:member	"rdf data"
18	"rdf data"	rdfs:subClassOf	"data"
18	"selectively crawling"	rdfs:subClassOf	"crawling"
18	"not known"	rdfs:subClassOf	"known"
18	"where not known"	rdfs:subClassOf	"not known"
18	"can extended"	rdfs:subClassOf	"extended"
18	"can extended to setting"	local:to_setting	"can extended"
18	"can extended to setting"	local:canextended_to	"setting"
18	"rdf data for attributes"	local:for_attributes	"rdf data"
18	"rdf data for attributes"	local:rdfdata_for	"attributes"
18	"attributes of interest"	local:of_interest	"attributes"
18	"attributes of interest"	local:attributes_of	"interest"
18	"show"	vn.role:Theme	"can extended to setting"
18	"approach"	vn.role:object	"we"
18	"extended"	vn.role:Theme	"approach"
18	"extended"	local:AM-MOD	"can"
18	"rdf"	rdfs:member	"rdf data"
18	"rdf data"	rdfs:subClassOf	"data"
18	"selectively crawling"	rdfs:subClassOf	"crawling"
18	"not known"	rdfs:subClassOf	"known"
18	"where not known"	rdfs:subClassOf	"not known"
18	"rdf data for attributes"	local:for_attributes	"rdf data"
18	"rdf data for attributes"	local:rdfdata_for	"attributes"
18	"attributes of interest"	local:of_interest	"attributes"
18	"attributes of interest"	local:attributes_of	"interest"
18	"extended"	vn.role:Recipient	"setting"
18	"known"	vn.role:Theme	"attributes"
18	"known"	local:AM-NEG	"not"
18	"known"	vn.role:Theme	"priori"
18	"rdf"	rdfs:member	"rdf data"
18	"rdf data"	rdfs:subClassOf	"data"
18	"selectively crawling"	rdfs:subClassOf	"crawling"
18	"rdf data for attributes"	local:for_attributes	"rdf data"
18	"rdf data for attributes"	local:rdfdata_for	"attributes"
18	"attributes of interest"	local:of_interest	"attributes"
18	"attributes of interest"	local:attributes_of	"interest"
18	"known"	local:AM-MNR	"selectively crawling"
18	"crawling"	local:AM-MNR	"selectively"
18	"rdf"	rdfs:member	"rdf data"
18	"rdf data"	rdfs:subClassOf	"data"
18	"crawling"	vn.role:Theme	"rdf data"
18	"attributes of interest"	local:of_interest	"attributes"
18	"attributes of interest"	local:attributes_of	"interest"
18	"crawling"	vn.role:indirect_object	"attributes of interest"
20	"provide"	vn.role:Recipient	"we"
20	"open source"	rdfs:subClassOf	"source"
20	"open"	rdfs:member	"open source"
20	"provide"	vn.role:Agent	"open source"
20	"provide"	vn.role:indirect_object	"implementation"
21	"evaluate"	vn.role:Agent	"we"
21	"several large"	rdfs:subClassOf	"large"
21	"large"	rdfs:member	"large rdf"
21	"several"	rdfs:member	"several large"
21	"several large rdf datasets"	rdfs:subClassOf	"datasets"
21	"rdf datasets"	rdfs:subClassOf	"datasets"
21	"large rdf"	rdfs:member	"large rdf datasets"
21	"several large rdf"	rdfs:subClassOf	"rdf"
21	"rdf"	rdfs:member	"rdf datasets"
21	"large rdf"	rdfs:subClassOf	"rdf"
21	"large rdf datasets"	rdfs:subClassOf	"datasets"
21	"several large"	rdfs:member	"several large rdf"
21	"several large rdf"	rdfs:member	"several large rdf datasets"
21	"large rdf datasets"	rdfs:subClassOf	"rdf datasets"
21	"several large rdf datasets"	rdfs:subClassOf	"large rdf datasets"
21	"proposed approach"	rdfs:subClassOf	"approach"
21	"proposed approach on several large rdf datasets"	local:on_severallargerdfdatasets	"proposed approach"
21	"proposed approach on several large rdf datasets"	local:proposedapproach_on	"several large rdf datasets"
21	"evaluate"	vn.role:Theme	"proposed approach on several large rdf datasets"
21	"proposed"	vn.role:Topic	"approach"
