0	"growing"	vn.role:Location	"field"
5	"time-consuming"	rdfs:member	"time-consuming steps"
5	"novel"	rdfs:member	"novel surface"
5	"surface functionalization"	rdfs:subClassOf	"functionalization"
5	"novel surface functionalization"	rdfs:subClassOf	"surface functionalization"
5	"time-consuming steps of novel surface functionalization"	local:of_novelsurfacefunctionalization	"time-consuming steps"
5	"time-consuming steps of novel surface functionalization"	local:time-consumingsteps_of	"novel surface functionalization"
5	"require"	vn.role:Patient	"time-consuming steps of novel surface functionalization"
6	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
6	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
6	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
6	"used"	vn.role:Theme	"far immuno-infrared sensor"
6	"used"	local:AM-MOD	"can"
6	"used"	local:AM-MNR	"once"
7	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
7	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
7	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
7	"used"	vn.role:Theme	"far immuno-infrared sensor"
7	"used"	local:AM-MOD	"can"
7	"used"	local:AM-MNR	"once"
8	"immuno-infrared sensor"	rdfs:subClassOf	"sensor"
8	"immuno-infrared"	rdfs:member	"immuno-infrared sensor"
8	"far immuno-infrared sensor"	rdfs:subClassOf	"immuno-infrared sensor"
8	"require"	vn.role:Agent	"far immuno-infrared sensor"
8	"require"	local:AM-MOD	"can"
8	"time-consuming steps"	rdfs:subClassOf	"steps"
8	"time-consuming"	rdfs:member	"time-consuming steps"
8	"sensor exchange"	rdfs:subClassOf	"exchange"
8	"sensor"	rdfs:member	"sensor exchange"
8	"time-consuming steps of sensor exchange"	local:of_sensorexchange	"time-consuming steps"
8	"time-consuming steps of sensor exchange"	local:time-consumingsteps_of	"sensor exchange"
8	"require"	vn.role:Patient	"time-consuming steps of sensor exchange"
9	"developed"	vn.role:Location	"we"
9	"reusable surface"	rdfs:subClassOf	"surface"
9	"reusable"	rdfs:member	"reusable surface"
9	"developed"	vn.role:Location	"immuno-infrared-sensor"
9	"providing"	vn.role:Recipient	"immuno-infrared-sensor"
9	"reusable surface"	rdfs:subClassOf	"surface"
9	"reusable"	rdfs:member	"reusable surface"
9	"providing"	vn.role:Agent	"reusable surface"
9	"providing"	vn.role:Recipient	"immuno-infrared-sensor"
9	"reusable surface"	rdfs:subClassOf	"surface"
9	"reusable"	rdfs:member	"reusable surface"
9	"providing"	vn.role:Agent	"reusable surface"
9	"showcase"	vn.role:Agent	"we"
9	"showcase"	vn.role:Agent	"we"
9	"showcase"	vn.role:Agent	"an"
9	"immuno-infrared-sensor immuno-infrared-sensor"	rdfs:subClassOf	"immuno-infrared-sensor"
9	"immuno-infrared-sensor"	rdfs:member	"immuno-infrared-sensor immuno-infrared-sensor"
9	"showcase"	vn.role:Agent	"immuno-infrared-sensor immuno-infrared-sensor"
9	"showcase"	vn.role:Theme	"an"
9	"reusable surface"	rdfs:subClassOf	"surface"
9	"reusable"	rdfs:member	"reusable surface"
9	"immuno-infrared-sensor immuno-infrared-sensor"	rdfs:subClassOf	"immuno-infrared-sensor"
9	"immuno-infrared-sensor"	rdfs:member	"immuno-infrared-sensor immuno-infrared-sensor"
9	"showcase"	vn.role:Theme	"immuno-infrared-sensor immuno-infrared-sensor"
9	"csf performance"	rdfs:subClassOf	"performance"
9	"human"	rdfs:member	"human csf"
9	"human csf"	rdfs:member	"human csf performance"
9	"disease"	rdfs:member	"disease biomarker"
9	"human csf"	rdfs:subClassOf	"csf"
9	"disease biomarker"	rdfs:subClassOf	"biomarker"
9	"csf"	rdfs:member	"csf performance"
9	"human csf performance"	rdfs:subClassOf	"performance"
9	"biomarker proteins"	rdfs:subClassOf	"proteins"
9	"disease biomarker proteins"	rdfs:subClassOf	"biomarker proteins"
9	"alzheimer disease biomarker proteins"	rdfs:subClassOf	"disease biomarker proteins"
9	"human csf performance"	rdfs:subClassOf	"csf performance"
9	"performance by tau"	local:by_tau	"performance"
9	"performance by tau"	local:performance_by	"tau"
9	"performance by tau in human csf performance"	local:in_humancsfperformance	"performance by tau"
9	"performance by tau in human csf performance"	local:performancebytau_in	"human csf performance"
9	"performance by tau in human csf performance by detection"	local:by_detection	"performance by tau in human csf performance"
9	"performance by tau in human csf performance by detection"	local:performancebytauinhumancsfperformance_by	"detection"
9	"detection of alzheimer disease biomarker proteins"	local:of_alzheimerdiseasebiomarkerproteins	"detection"
9	"detection of alzheimer disease biomarker proteins"	local:detection_of	"alzheimer disease biomarker proteins"
9	"alzheimer disease biomarker proteins in human csf"	local:in_humancsf	"alzheimer disease biomarker proteins"
9	"alzheimer disease biomarker proteins in human csf"	local:alzheimerdiseasebiomarkerproteins_in	"human csf"
9	"showcase"	vn.role:Theme	"performance by tau in human csf performance by detection"
10	"developed"	vn.role:Location	"we"
10	"reusable surface"	rdfs:subClassOf	"surface"
10	"reusable"	rdfs:member	"reusable surface"
10	"developed"	vn.role:Location	"immuno-infrared-sensor"
10	"providing"	vn.role:Recipient	"immuno-infrared-sensor"
10	"reusable surface"	rdfs:subClassOf	"surface"
10	"reusable"	rdfs:member	"reusable surface"
10	"providing"	vn.role:Agent	"reusable surface"
10	"providing"	vn.role:Recipient	"immuno-infrared-sensor"
10	"reusable surface"	rdfs:subClassOf	"surface"
10	"reusable"	rdfs:member	"reusable surface"
10	"providing"	vn.role:Agent	"reusable surface"
10	"showcase"	vn.role:Agent	"we"
10	"showcase"	vn.role:Agent	"we"
10	"showcase"	vn.role:Agent	"an"
10	"immuno-infrared-sensor immuno-infrared-sensor"	rdfs:subClassOf	"immuno-infrared-sensor"
10	"immuno-infrared-sensor"	rdfs:member	"immuno-infrared-sensor immuno-infrared-sensor"
10	"showcase"	vn.role:Agent	"immuno-infrared-sensor immuno-infrared-sensor"
10	"showcase"	vn.role:Theme	"an"
10	"reusable surface"	rdfs:subClassOf	"surface"
10	"reusable"	rdfs:member	"reusable surface"
10	"immuno-infrared-sensor immuno-infrared-sensor"	rdfs:subClassOf	"immuno-infrared-sensor"
10	"immuno-infrared-sensor"	rdfs:member	"immuno-infrared-sensor immuno-infrared-sensor"
10	"showcase"	vn.role:Theme	"immuno-infrared-sensor immuno-infrared-sensor"
10	"human csf"	rdfs:subClassOf	"csf"
10	"disease"	rdfs:member	"disease biomarker"
10	"human"	rdfs:member	"human csf"
10	"disease biomarker"	rdfs:subClassOf	"biomarker"
10	"biomarker proteins"	rdfs:subClassOf	"proteins"
10	"disease biomarker proteins"	rdfs:subClassOf	"biomarker proteins"
10	"alzheimer disease biomarker proteins"	rdfs:subClassOf	"disease biomarker proteins"
10	"amyloid-beta proteins"	rdfs:subClassOf	"proteins"
10	"biomarker amyloid-beta proteins"	rdfs:subClassOf	"amyloid-beta proteins"
10	"disease biomarker amyloid-beta proteins"	rdfs:subClassOf	"biomarker amyloid-beta proteins"
10	"alzheimer disease biomarker amyloid-beta proteins"	rdfs:subClassOf	"disease biomarker amyloid-beta proteins"
10	"performance by detection"	local:by_detection	"performance"
10	"performance by detection"	local:performance_by	"detection"
10	"detection of alzheimer disease biomarker amyloid-beta proteins"	local:of_alzheimerdiseasebiomarkeramyloid-betaproteins	"detection"
10	"detection of alzheimer disease biomarker amyloid-beta proteins"	local:detection_of	"alzheimer disease biomarker amyloid-beta proteins"
10	"amyloid-beta by detection"	local:by_detection	"amyloid-beta"
10	"amyloid-beta by detection"	local:amyloid-beta_by	"detection"
10	"detection of alzheimer disease biomarker proteins"	local:of_alzheimerdiseasebiomarkerproteins	"detection"
10	"detection of alzheimer disease biomarker proteins"	local:detection_of	"alzheimer disease biomarker proteins"
10	"alzheimer disease biomarker proteins in human csf"	local:in_humancsf	"alzheimer disease biomarker proteins"
10	"alzheimer disease biomarker proteins in human csf"	local:alzheimerdiseasebiomarkerproteins_in	"human csf"
10	"showcase"	vn.role:Theme	"performance by detection"
11	"binding"	vn.role:Agent	"immunoglobulin"
11	"protein g"	rdfs:subClassOf	"g"
11	"protein"	rdfs:member	"protein g"
11	"protein g."	rdfs:subClassOf	"g."
11	"binding"	vn.role:Theme	"protein g."
12	"binding"	vn.role:Agent	"protein"
13	"protein g"	rdfs:subClassOf	"g"
13	"protein"	rdfs:member	"protein g"
13	"employed"	vn.role:Theme	"protein g"
13	"non-covalent"	rdfs:member	"non-covalent immobilization"
13	"non-covalent immobilization"	rdfs:subClassOf	"immobilization"
13	"non-covalent immobilization of antibodies"	local:of_antibodies	"non-covalent immobilization"
13	"non-covalent immobilization of antibodies"	local:non-covalentimmobilization_of	"antibodies"
13	"employed"	vn.role:Recipient	"non-covalent immobilization of antibodies"
14	"protein g"	rdfs:subClassOf	"g"
14	"protein"	rdfs:member	"protein g"
14	"employed"	vn.role:Theme	"protein g"
14	"protein"	rdfs:member	"protein g"
14	"protein g"	rdfs:subClassOf	"g"
14	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
14	"g antigens"	rdfs:subClassOf	"antigens"
14	"protein g"	rdfs:member	"protein g antigens"
14	"protein g antigens"	rdfs:subClassOf	"antigens"
14	"subsequent"	rdfs:member	"subsequent immobilization"
14	"g"	rdfs:member	"g antigens"
14	"protein g antigens"	rdfs:subClassOf	"g antigens"
14	"binding protein g antigens"	rdfs:subClassOf	"protein g antigens"
14	"immunoglobulin binding protein g antigens"	rdfs:subClassOf	"binding protein g antigens"
14	"subsequent immobilization of immunoglobulin binding protein g antigens"	local:of_immunoglobulinbindingproteingantigens	"subsequent immobilization"
14	"subsequent immobilization of immunoglobulin binding protein g antigens"	local:subsequentimmobilization_of	"immunoglobulin binding protein g antigens"
14	"employed"	local:AM-PNC	"subsequent immobilization of immunoglobulin binding protein g antigens"
14	"protein"	rdfs:member	"protein g"
14	"protein g"	rdfs:subClassOf	"g"
14	"g antigens"	rdfs:subClassOf	"antigens"
14	"protein g"	rdfs:member	"protein g antigens"
14	"protein g antigens"	rdfs:subClassOf	"antigens"
14	"g"	rdfs:member	"g antigens"
14	"protein g antigens"	rdfs:subClassOf	"g antigens"
14	"binding"	vn.role:Theme	"protein g antigens"
15	"protein g"	rdfs:subClassOf	"g"
15	"protein"	rdfs:member	"protein g"
15	"employed"	vn.role:Theme	"protein g"
15	"immunoglobulin"	rdfs:member	"immunoglobulin binding"
15	"subsequent"	rdfs:member	"subsequent immobilization"
15	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
15	"immunoglobulin binding"	rdfs:subClassOf	"binding"
15	"binding proteins"	rdfs:subClassOf	"proteins"
15	"immunoglobulin binding proteins"	rdfs:subClassOf	"binding proteins"
15	"subsequent immobilization of immunoglobulin binding proteins"	local:of_immunoglobulinbindingproteins	"subsequent immobilization"
15	"subsequent immobilization of immunoglobulin binding proteins"	local:subsequentimmobilization_of	"immunoglobulin binding proteins"
15	"employed"	local:AM-PNC	"subsequent immobilization of immunoglobulin binding proteins"
15	"proteins protein"	rdfs:subClassOf	"protein"
15	"binding"	vn.role:Agent	"proteins protein"
16	"binding"	vn.role:Agent	"immunoglobulin"
16	"binding"	rdfs:member	"binding proteins"
16	"immunoglobulin binding"	rdfs:member	"immunoglobulin binding proteins"
16	"subsequent"	rdfs:member	"subsequent immobilization"
16	"binding proteins"	rdfs:subClassOf	"proteins"
16	"immunoglobulin binding"	rdfs:subClassOf	"binding"
16	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
16	"immunoglobulin"	rdfs:member	"immunoglobulin binding"
16	"immunoglobulin binding proteins"	rdfs:subClassOf	"proteins"
16	"immunoglobulin binding proteins"	rdfs:subClassOf	"binding proteins"
16	"protein a"	rdfs:subClassOf	"a"
16	"employed for subsequent immobilization"	local:for_subsequentimmobilization	"employed"
16	"employed for subsequent immobilization"	local:employed_for	"subsequent immobilization"
16	"employed for subsequent immobilization for analysis"	local:for_analysis	"employed for subsequent immobilization"
16	"employed for subsequent immobilization for analysis"	local:employedforsubsequentimmobilization_for	"analysis"
16	"subsequent immobilization of immunoglobulin binding proteins"	local:of_immunoglobulinbindingproteins	"subsequent immobilization"
16	"subsequent immobilization of immunoglobulin binding proteins"	local:subsequentimmobilization_of	"immunoglobulin binding proteins"
16	"binding"	vn.role:Theme	"employed for subsequent immobilization for analysis"
16	"protein"	rdfs:member	"protein a."
16	"protein a."	rdfs:subClassOf	"a."
16	"protein protein a."	rdfs:subClassOf	"protein a."
16	"proteins protein protein a."	rdfs:subClassOf	"protein protein a."
16	"binding"	vn.role:Agent	"proteins protein protein a."
16	"binding protein"	rdfs:subClassOf	"protein"
16	"immunoglobulin binding protein"	rdfs:subClassOf	"binding protein"
16	"employed"	vn.role:Theme	"immunoglobulin binding protein"
16	"immunoglobulin"	rdfs:member	"immunoglobulin binding"
16	"subsequent"	rdfs:member	"subsequent immobilization"
16	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
16	"immunoglobulin binding"	rdfs:subClassOf	"binding"
16	"binding proteins"	rdfs:subClassOf	"proteins"
16	"immunoglobulin binding proteins"	rdfs:subClassOf	"binding proteins"
16	"subsequent immobilization of immunoglobulin binding proteins"	local:of_immunoglobulinbindingproteins	"subsequent immobilization"
16	"subsequent immobilization of immunoglobulin binding proteins"	local:subsequentimmobilization_of	"immunoglobulin binding proteins"
16	"employed"	local:AM-PNC	"subsequent immobilization of immunoglobulin binding proteins"
17	"binding"	vn.role:Agent	"immunoglobulin"
17	"protein"	rdfs:member	"protein g"
17	"protein g"	rdfs:subClassOf	"g"
17	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
17	"g antigens"	rdfs:subClassOf	"antigens"
17	"protein g"	rdfs:member	"protein g antigens"
17	"protein g antigens"	rdfs:subClassOf	"antigens"
17	"subsequent"	rdfs:member	"subsequent immobilization"
17	"g"	rdfs:member	"g antigens"
17	"protein g antigens"	rdfs:subClassOf	"g antigens"
17	"protein a"	rdfs:subClassOf	"a"
17	"employed for subsequent immobilization"	local:for_subsequentimmobilization	"employed"
17	"employed for subsequent immobilization"	local:employed_for	"subsequent immobilization"
17	"employed for subsequent immobilization for analysis"	local:for_analysis	"employed for subsequent immobilization"
17	"employed for subsequent immobilization for analysis"	local:employedforsubsequentimmobilization_for	"analysis"
17	"subsequent immobilization of protein g antigens"	local:of_proteingantigens	"subsequent immobilization"
17	"subsequent immobilization of protein g antigens"	local:subsequentimmobilization_of	"protein g antigens"
17	"binding"	vn.role:Theme	"employed for subsequent immobilization for analysis"
17	"binding protein"	rdfs:subClassOf	"protein"
17	"immunoglobulin binding protein"	rdfs:subClassOf	"binding protein"
17	"employed"	vn.role:Theme	"immunoglobulin binding protein"
17	"protein"	rdfs:member	"protein g"
17	"protein g"	rdfs:subClassOf	"g"
17	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
17	"g antigens"	rdfs:subClassOf	"antigens"
17	"protein g"	rdfs:member	"protein g antigens"
17	"protein g antigens"	rdfs:subClassOf	"antigens"
17	"subsequent"	rdfs:member	"subsequent immobilization"
17	"g"	rdfs:member	"g antigens"
17	"protein g antigens"	rdfs:subClassOf	"g antigens"
17	"subsequent immobilization of protein g antigens"	local:of_proteingantigens	"subsequent immobilization"
17	"subsequent immobilization of protein g antigens"	local:subsequentimmobilization_of	"protein g antigens"
17	"employed"	vn.role:Recipient	"subsequent immobilization of protein g antigens"
18	"binding"	vn.role:Agent	"immunoglobulin"
18	"binding"	vn.role:Theme	"protein"
18	"binding protein"	rdfs:subClassOf	"protein"
18	"immunoglobulin binding protein"	rdfs:subClassOf	"binding protein"
18	"employed"	vn.role:Theme	"immunoglobulin binding protein"
18	"non-covalent"	rdfs:member	"non-covalent immobilization"
18	"non-covalent immobilization"	rdfs:subClassOf	"immobilization"
18	"non-covalent immobilization of antibodies"	local:of_antibodies	"non-covalent immobilization"
18	"non-covalent immobilization of antibodies"	local:non-covalentimmobilization_of	"antibodies"
18	"employed"	vn.role:Recipient	"non-covalent immobilization of antibodies"
19	"subsequent"	rdfs:member	"subsequent immobilization"
19	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
19	"their antigens"	rdfs:subClassOf	"antigens"
19	"subsequent immobilization of their antigens"	local:of_theirantigens	"subsequent immobilization"
19	"subsequent immobilization of their antigens"	local:subsequentimmobilization_of	"their antigens"
19	"repeated"	vn.role:Topic	"subsequent immobilization of their antigens"
19	"repeated"	local:AM-MOD	"can"
19	"several times"	rdfs:subClassOf	"times"
19	"several"	rdfs:member	"several times"
19	"repeated"	local:AM-TMP	"several times"
19	"different"	rdfs:member	"different antibodies"
19	"different antibodies"	rdfs:subClassOf	"antibodies"
19	"repeated"	local:AM-MNR	"different antibodies"
20	"subsequent"	rdfs:member	"subsequent immobilization"
20	"subsequent immobilization"	rdfs:subClassOf	"immobilization"
20	"their antigens"	rdfs:subClassOf	"antigens"
20	"subsequent immobilization of their antigens"	local:of_theirantigens	"subsequent immobilization"
20	"subsequent immobilization of their antigens"	local:subsequentimmobilization_of	"their antigens"
20	"repeated"	vn.role:Topic	"subsequent immobilization of their antigens"
20	"repeated"	local:AM-MOD	"can"
20	"several times"	rdfs:subClassOf	"times"
20	"several"	rdfs:member	"several times"
20	"repeated"	local:AM-TMP	"several times"
20	"repeated"	local:AM-MNR	"antibodies"
21	"conventional nhs"	rdfs:member	"conventional nhs coupling"
21	"more"	rdfs:member	"more specific"
21	"specific"	rdfs:member	"specific binding"
21	"more specific"	rdfs:subClassOf	"specific"
21	"nhs coupling"	rdfs:subClassOf	"coupling"
21	"nhs"	rdfs:member	"nhs coupling"
21	"conventional nhs coupling"	rdfs:subClassOf	"coupling"
21	"fc region"	rdfs:subClassOf	"region"
21	"more specific"	rdfs:member	"more specific binding"
21	"conventional"	rdfs:member	"conventional nhs"
21	"specific binding"	rdfs:subClassOf	"binding"
21	"conventional nhs"	rdfs:subClassOf	"nhs"
21	"fc"	rdfs:member	"fc region"
21	"more specific binding"	rdfs:subClassOf	"binding"
21	"coupling fc region"	rdfs:subClassOf	"fc region"
21	"nhs coupling fc region"	rdfs:subClassOf	"coupling fc region"
21	"conventional nhs coupling fc region"	rdfs:subClassOf	"nhs coupling fc region"
21	"its fc region"	rdfs:subClassOf	"fc region"
21	"specific binding of antibody"	local:of_antibody	"specific binding"
21	"specific binding of antibody"	local:specificbinding_of	"antibody"
21	"specific binding of antibody via antibody"	local:via_antibody	"specific binding of antibody"
21	"specific binding of antibody via antibody"	local:specificbindingofantibody_via	"antibody"
21	"specific binding of antibody via antibody via its fc region"	local:via_itsfcregion	"specific binding of antibody via antibody"
21	"specific binding of antibody via antibody via its fc region"	local:specificbindingofantibodyviaantibody_via	"its fc region"
21	"specific binding of antibody via antibody via its fc region via conventional nhs coupling fc region"	local:via_conventionalnhscouplingfcregion	"specific binding of antibody via antibody via its fc region"
21	"specific binding of antibody via antibody via its fc region via conventional nhs coupling fc region"	local:specificbindingofantibodyviaantibodyviaitsfcregion_via	"conventional nhs coupling fc region"
21	"specific binding of antibody via antibody via its fc region via conventional nhs coupling fc region via conventional nhs"	local:via_conventionalnhs	"specific binding of antibody via antibody via its fc region via conventional nhs coupling fc region"
21	"specific binding of antibody via antibody via its fc region via conventional nhs coupling fc region via conventional nhs"	local:specificbindingofantibodyviaantibodyviaitsfcregionviaconventionalnhscouplingfcregion_via	"conventional nhs"
21	"leads"	vn.role:Agent	"further"
21	"higher antigen"	rdfs:subClassOf	"antigen"
21	"3-4-fold higher"	rdfs:member	"3-4-fold higher antigen"
21	"3-4-fold higher"	rdfs:subClassOf	"higher"
21	"3-4-fold"	rdfs:member	"3-4-fold higher"
21	"3-4-fold higher antigen"	rdfs:subClassOf	"antigen"
21	"higher"	rdfs:member	"higher antigen"
21	"binding capacity"	rdfs:subClassOf	"capacity"
21	"antigen binding capacity"	rdfs:subClassOf	"binding capacity"
21	"higher antigen binding capacity"	rdfs:subClassOf	"antigen binding capacity"
21	"higher antigen binding capacity of antibody"	local:of_antibody	"higher antigen binding capacity"
21	"higher antigen binding capacity of antibody"	local:higherantigenbindingcapacity_of	"antibody"
21	"leads"	vn.role:Destination	"higher antigen binding capacity of antibody"
21	"conventional nhs"	rdfs:member	"conventional nhs coupling"
21	"nhs coupling"	rdfs:subClassOf	"coupling"
21	"nhs"	rdfs:member	"nhs coupling"
21	"conventional nhs coupling"	rdfs:subClassOf	"coupling"
21	"fc region"	rdfs:subClassOf	"region"
21	"conventional"	rdfs:member	"conventional nhs"
21	"conventional nhs"	rdfs:subClassOf	"nhs"
21	"fc"	rdfs:member	"fc region"
21	"conventional nhs coupling"	rdfs:subClassOf	"nhs coupling"
21	"its fc region"	rdfs:subClassOf	"fc region"
21	"leads"	local:AM-MNR	"its fc region"
21	"higher antigen"	rdfs:subClassOf	"antigen"
21	"3-4-fold higher"	rdfs:member	"3-4-fold higher antigen"
21	"3-4-fold higher"	rdfs:subClassOf	"higher"
21	"3-4-fold"	rdfs:member	"3-4-fold higher"
21	"3-4-fold higher antigen"	rdfs:subClassOf	"antigen"
21	"higher"	rdfs:member	"higher antigen"
21	"binding"	vn.role:Agent	"higher antigen"
21	"capacity of antibody"	local:of_antibody	"capacity"
21	"capacity of antibody"	local:capacity_of	"antibody"
21	"binding"	vn.role:Theme	"capacity of antibody"
22	"sensitivity capacity"	rdfs:subClassOf	"capacity"
22	"sensitivity"	rdfs:member	"sensitivity capacity"
22	"body"	rdfs:member	"body fluids"
22	"body fluids"	rdfs:subClassOf	"fluids"
22	"preclinical"	rdfs:member	"preclinical detection"
22	"preclinical detection"	rdfs:subClassOf	"detection"
22	"alzheimer disease"	rdfs:subClassOf	"disease"
22	"sensitivity capacity of immuno-infrared-biosensor"	local:of_immuno-infrared-biosensor	"sensitivity capacity"
22	"sensitivity capacity of immuno-infrared-biosensor"	local:sensitivitycapacity_of	"immuno-infrared-biosensor"
22	"immuno-infrared-biosensor for preclinical detection"	local:for_preclinicaldetection	"immuno-infrared-biosensor"
22	"immuno-infrared-biosensor for preclinical detection"	local:immuno-infrared-biosensor_for	"preclinical detection"
22	"preclinical detection of alzheimer disease"	local:of_alzheimerdisease	"preclinical detection"
22	"preclinical detection of alzheimer disease"	local:preclinicaldetection_of	"alzheimer disease"
22	"alzheimer disease in body fluids"	local:in_bodyfluids	"alzheimer disease"
22	"alzheimer disease in body fluids"	local:alzheimerdisease_in	"body fluids"
22	"increased"	vn.role:Attribute	"thus"
22	"increased"	local:AM-MNR	"significantly"
22	"former immuno-infrared-assays"	rdfs:subClassOf	"immuno-infrared-assays"
22	"former"	rdfs:member	"former immuno-infrared-assays"
22	"increased"	local:AM-ADV	"former immuno-infrared-assays"
23	"throughput capacity"	rdfs:subClassOf	"capacity"
23	"throughput"	rdfs:member	"throughput capacity"
23	"body"	rdfs:member	"body fluids"
23	"body fluids"	rdfs:subClassOf	"fluids"
23	"preclinical"	rdfs:member	"preclinical detection"
23	"preclinical detection"	rdfs:subClassOf	"detection"
23	"alzheimer disease"	rdfs:subClassOf	"disease"
23	"throughput capacity of immuno-infrared-biosensor"	local:of_immuno-infrared-biosensor	"throughput capacity"
23	"throughput capacity of immuno-infrared-biosensor"	local:throughputcapacity_of	"immuno-infrared-biosensor"
23	"immuno-infrared-biosensor for preclinical detection"	local:for_preclinicaldetection	"immuno-infrared-biosensor"
23	"immuno-infrared-biosensor for preclinical detection"	local:immuno-infrared-biosensor_for	"preclinical detection"
23	"preclinical detection of alzheimer disease"	local:of_alzheimerdisease	"preclinical detection"
23	"preclinical detection of alzheimer disease"	local:preclinicaldetection_of	"alzheimer disease"
23	"alzheimer disease in body fluids"	local:in_bodyfluids	"alzheimer disease"
23	"alzheimer disease in body fluids"	local:alzheimerdisease_in	"body fluids"
23	"increased"	vn.role:Attribute	"thus"
23	"increased"	local:AM-MNR	"significantly"
23	"former immuno-infrared-assays"	rdfs:subClassOf	"immuno-infrared-assays"
23	"former"	rdfs:member	"former immuno-infrared-assays"
23	"increased"	local:AM-ADV	"former immuno-infrared-assays"
24	"automation capacity"	rdfs:subClassOf	"capacity"
24	"automation"	rdfs:member	"automation capacity"
24	"body"	rdfs:member	"body fluids"
24	"body fluids"	rdfs:subClassOf	"fluids"
24	"preclinical"	rdfs:member	"preclinical detection"
24	"preclinical detection"	rdfs:subClassOf	"detection"
24	"alzheimer disease"	rdfs:subClassOf	"disease"
24	"automation capacity of immuno-infrared-biosensor"	local:of_immuno-infrared-biosensor	"automation capacity"
24	"automation capacity of immuno-infrared-biosensor"	local:automationcapacity_of	"immuno-infrared-biosensor"
24	"immuno-infrared-biosensor for preclinical detection"	local:for_preclinicaldetection	"immuno-infrared-biosensor"
24	"immuno-infrared-biosensor for preclinical detection"	local:immuno-infrared-biosensor_for	"preclinical detection"
24	"preclinical detection of alzheimer disease"	local:of_alzheimerdisease	"preclinical detection"
24	"preclinical detection of alzheimer disease"	local:preclinicaldetection_of	"alzheimer disease"
24	"alzheimer disease in body fluids"	local:in_bodyfluids	"alzheimer disease"
24	"alzheimer disease in body fluids"	local:alzheimerdisease_in	"body fluids"
24	"increased"	vn.role:Attribute	"thus"
24	"increased"	local:AM-MNR	"significantly"
24	"former immuno-infrared-assays"	rdfs:subClassOf	"immuno-infrared-assays"
24	"former"	rdfs:member	"former immuno-infrared-assays"
24	"increased"	local:AM-ADV	"former immuno-infrared-assays"
25	"used"	vn.role:Theme	"immuno-sensor"
25	"used"	local:AM-MOD	"can"
25	"binds to protein"	local:to_protein	"binds"
25	"binds to protein"	local:binds_to	"protein"
25	"used"	vn.role:Recipient	"antibody"
25	"binds"	vn.role:Theme	"antibody"
25	"binds"	vn.role:Destination	"protein"
