0	"present"	local:AM-LOC	"paper"
1	"web services project"	rdfs:subClassOf	"project"
1	"eu semantic web-enabled web"	rdfs:member	"eu semantic web-enabled web services"
1	"semantic web-enabled web services"	rdfs:subClassOf	"services"
1	"web-enabled web services"	rdfs:member	"web-enabled web services project"
1	"web-enabled web"	rdfs:subClassOf	"web"
1	"semantic web-enabled"	rdfs:member	"semantic web-enabled web"
1	"semantic web-enabled web services"	rdfs:member	"semantic web-enabled web services project"
1	"semantic web-enabled web services project"	rdfs:subClassOf	"project"
1	"eu semantic web-enabled web services"	rdfs:subClassOf	"services"
1	"eu semantic web-enabled"	rdfs:subClassOf	"web-enabled"
1	"web-enabled"	rdfs:member	"web-enabled web"
1	"eu semantic"	rdfs:member	"eu semantic web-enabled"
1	"web services project"	rdfs:subClassOf	"services project"
1	"web-enabled web services project"	rdfs:subClassOf	"web services project"
1	"semantic web-enabled web services project"	rdfs:subClassOf	"web-enabled web services project"
1	"eu semantic web-enabled web services project"	rdfs:subClassOf	"semantic web-enabled web services project"
1	"set of case studies"	local:of_casestudies	"set"
1	"set of case studies"	local:set_of	"case studies"
1	"developed as part"	local:as_part	"developed"
1	"developed as part"	local:developed_as	"part"
1	"part of eu semantic web-enabled web services project"	local:of_eusemanticweb-enabledwebservicesproject	"part"
1	"part of eu semantic web-enabled web services project"	local:part_of	"eu semantic web-enabled web services project"
1	"analyzing"	vn.role:Theme	"developed as part"
1	"case studies"	rdfs:subClassOf	"studies"
1	"case"	rdfs:member	"case studies"
1	"developed"	vn.role:Location	"case studies"
2	"conceptual"	rdfs:member	"conceptual architecture"
2	"abstract conceptual"	rdfs:member	"abstract conceptual architecture"
2	"abstract conceptual"	rdfs:subClassOf	"conceptual"
2	"web services"	rdfs:subClassOf	"services"
2	"semantic web"	rdfs:member	"semantic web services"
2	"abstract conceptual architecture"	rdfs:subClassOf	"architecture"
2	"conceptual architecture"	rdfs:subClassOf	"architecture"
2	"semantic web"	rdfs:subClassOf	"web"
2	"semantic"	rdfs:member	"semantic web"
2	"semantic web services"	rdfs:subClassOf	"services"
2	"abstract"	rdfs:member	"abstract conceptual"
2	"web"	rdfs:member	"web services"
2	"semantic web services"	rdfs:subClassOf	"web services"
2	"abstract conceptual architecture"	rdfs:subClassOf	"conceptual architecture"
2	"abstract conceptual architecture for semantic web services"	local:for_semanticwebservices	"abstract conceptual architecture"
2	"abstract conceptual architecture for semantic web services"	local:abstractconceptualarchitecture_for	"semantic web services"
2	"developed"	vn.role:Location	"abstract conceptual architecture for semantic web services"
2	"w3c web services"	rdfs:subClassOf	"services"
2	"web services"	rdfs:subClassOf	"services"
2	"services"	rdfs:member	"services architecture"
2	"web services"	rdfs:member	"web services architecture"
2	"w3c web"	rdfs:subClassOf	"web"
2	"services architecture"	rdfs:subClassOf	"architecture"
2	"w3c"	rdfs:member	"w3c web"
2	"w3c web"	rdfs:member	"w3c web services"
2	"web services architecture"	rdfs:subClassOf	"architecture"
2	"w3c web services"	rdfs:member	"w3c web services architecture"
2	"w3c web services architecture"	rdfs:subClassOf	"architecture"
2	"web"	rdfs:member	"web services"
2	"web services architecture"	rdfs:subClassOf	"services architecture"
2	"w3c web services architecture"	rdfs:subClassOf	"web services architecture"
2	"refinement of w3c web services architecture"	local:of_w3cwebservicesarchitecture	"refinement"
2	"refinement of w3c web services architecture"	local:refinement_of	"w3c web services architecture"
2	"developed"	local:AM-TMP	"refinement of w3c web services architecture"
3	"assess"	vn.role:Agent	"we"
3	"w3c web services"	rdfs:subClassOf	"services"
3	"web services"	rdfs:subClassOf	"services"
3	"services"	rdfs:member	"services architecture"
3	"web services"	rdfs:member	"web services architecture"
3	"w3c web"	rdfs:subClassOf	"web"
3	"services architecture"	rdfs:subClassOf	"architecture"
3	"w3c"	rdfs:member	"w3c web"
3	"w3c web"	rdfs:member	"w3c web services"
3	"web services architecture"	rdfs:subClassOf	"architecture"
3	"w3c web services"	rdfs:member	"w3c web services architecture"
3	"w3c web services architecture"	rdfs:subClassOf	"architecture"
3	"web"	rdfs:member	"web services"
3	"web services architecture"	rdfs:subClassOf	"services architecture"
3	"w3c web services architecture"	rdfs:subClassOf	"web services architecture"
3	"assess"	vn.role:Theme	"w3c web services architecture"
3	"assess"	local:AM-MNR	"requirements"
4	"provide"	vn.role:Recipient	"we"
4	"analysis of owl-s"	local:of_owl-s	"analysis"
4	"analysis of owl-s"	local:analysis_of	"owl-s"
4	"provide"	vn.role:Agent	"analysis of owl-s"
