0	"recent developments"	rdfs:subClassOf	"developments"
2	"new avenues of performance improvement expensive workloads"	local:_expensiveworkloads	"new avenues of performance improvement"
2	"new avenues of performance improvement expensive workloads"	local:newavenuesofperformanceimprovement_	"expensive workloads"
2	"expressed"	vn.role:Agent	"new avenues of performance improvement expensive workloads"
2	"expressed"	local:AM-LOC	"way"
3	"address"	local:AM-LOC	"paper"
3	"address"	vn.role:Agent	"we"
3	"rdfs entailment"	rdfs:subClassOf	"entailment"
3	"rdfs"	rdfs:member	"rdfs entailment"
3	"such way"	rdfs:subClassOf	"way"
3	"describing in such way"	local:in_suchway	"describing"
3	"describing in such way"	local:describing_in	"such way"
3	"address"	vn.role:Theme	"problem"
3	"describing"	vn.role:Agent	"we"
3	"rdfs entailment"	rdfs:subClassOf	"entailment"
3	"rdfs"	rdfs:member	"rdfs entailment"
3	"describing"	vn.role:Theme	"rdfs entailment"
3	"describing"	local:AM-LOC	"way"
4	"parallel"	rdfs:member	"parallel rdfs"
4	"rdfs"	rdfs:member	"rdfs reasoning"
4	"parallel rdfs"	rdfs:member	"parallel rdfs reasoning"
4	"previous"	rdfs:member	"previous work"
4	"previous work"	rdfs:subClassOf	"work"
4	"parallel rdfs"	rdfs:subClassOf	"rdfs"
4	"parallel rdfs reasoning"	rdfs:subClassOf	"reasoning"
4	"rdfs reasoning"	rdfs:subClassOf	"reasoning"
4	"parallel rdfs reasoning"	rdfs:subClassOf	"rdfs reasoning"
4	"different from previous work"	local:from_previouswork	"different"
4	"different from previous work"	local:different_from	"previous work"
4	"previous work on parallel rdfs reasoning"	local:on_parallelrdfsreasoning	"previous work"
4	"previous work on parallel rdfs reasoning"	local:previouswork_on	"parallel rdfs reasoning"
4	"assume"	local:AM-ADV	"different from previous work"
4	"assume"	vn.role:Agent	"we"
4	"memory architecture"	rdfs:subClassOf	"architecture"
4	"memory"	rdfs:member	"memory architecture"
4	"shared memory architecture"	rdfs:subClassOf	"memory architecture"
4	"assume"	vn.role:Theme	"shared memory architecture"
4	"shared"	vn.role:Patient	"memory"
5	"occur"	vn.role:Location	"duplicates"
5	"occur"	local:AM-MNR	"naturally"
5	"rdfs reasoning"	rdfs:subClassOf	"reasoning"
5	"occur"	local:AM-LOC	"rdfs reasoning"
5	"develop"	vn.role:Theme	"duplicates"
5	"develop"	local:AM-ADV	"naturally"
5	"strategies"	rdfs:member	"strategies towards"
5	"strategies towards"	rdfs:subClassOf	"towards"
5	"our architecture"	rdfs:subClassOf	"architecture"
5	"reasoning mitigation"	rdfs:subClassOf	"mitigation"
5	"rdfs reasoning mitigation"	rdfs:subClassOf	"reasoning mitigation"
5	"strategies towards rdfs reasoning mitigation"	local:towards_rdfsreasoningmitigation	"strategies"
5	"strategies towards rdfs reasoning mitigation"	local:strategies_towards	"rdfs reasoning mitigation"
5	"levels of our architecture"	local:of_ourarchitecture	"levels"
5	"levels of our architecture"	local:levels_of	"our architecture"
5	"develop"	vn.role:Location	"strategies towards rdfs reasoning mitigation"
5	"reasoning mitigation"	rdfs:subClassOf	"mitigation"
5	"rdfs reasoning mitigation"	rdfs:subClassOf	"reasoning mitigation"
5	"exploiting"	vn.role:Agent	"rdfs reasoning mitigation"
5	"our architecture"	rdfs:subClassOf	"architecture"
5	"levels of our architecture"	local:of_ourarchitecture	"levels"
5	"levels of our architecture"	local:levels_of	"our architecture"
5	"exploiting"	vn.role:Predicate	"levels of our architecture"
6	"analyze"	vn.role:Agent	"we"
6	"problem of duplicates"	local:of_duplicates	"problem"
6	"problem of duplicates"	local:problem_of	"duplicates"
6	"analyze"	vn.role:Theme	"problem of duplicates"
7	"real-world datasets performance"	rdfs:member	"real-world datasets performance characteristics"
7	"performance characteristics"	rdfs:subClassOf	"characteristics"
7	"datasets performance characteristics"	rdfs:subClassOf	"characteristics"
7	"real-world"	rdfs:member	"real-world datasets"
7	"different"	rdfs:member	"different levels"
7	"datasets"	rdfs:member	"datasets performance"
7	"real-world datasets performance characteristics"	rdfs:subClassOf	"characteristics"
7	"different levels"	rdfs:subClassOf	"levels"
7	"datasets performance"	rdfs:subClassOf	"performance"
7	"performance"	rdfs:member	"performance characteristics"
7	"real-world datasets"	rdfs:member	"real-world datasets performance"
7	"real-world datasets performance"	rdfs:subClassOf	"performance"
7	"datasets performance"	rdfs:member	"datasets performance characteristics"
7	"real-world datasets"	rdfs:subClassOf	"datasets"
7	"datasets performance characteristics"	rdfs:subClassOf	"performance characteristics"
7	"real-world datasets performance characteristics"	rdfs:subClassOf	"datasets performance characteristics"
7	"two real-world datasets performance characteristics"	rdfs:subClassOf	"real-world datasets performance characteristics"
7	"approach on two real-world datasets performance characteristics"	local:on_tworeal-worlddatasetsperformancecharacteristics	"approach"
7	"approach on two real-world datasets performance characteristics"	local:approach_on	"two real-world datasets performance characteristics"
7	"two real-world datasets performance characteristics on different levels"	local:on_differentlevels	"two real-world datasets performance characteristics"
7	"two real-world datasets performance characteristics on different levels"	local:tworeal-worlddatasetsperformancecharacteristics_on	"different levels"
7	"different levels of parallelization"	local:of_parallelization	"different levels"
7	"different levels of parallelization"	local:differentlevels_of	"parallelization"
7	"evaluate"	vn.role:Theme	"approach on two real-world datasets performance characteristics"
8	"performance characteristics"	rdfs:subClassOf	"characteristics"
8	"different"	rdfs:member	"different levels"
8	"different levels"	rdfs:subClassOf	"levels"
8	"study"	rdfs:member	"study rdfs"
8	"performance"	rdfs:member	"performance characteristics"
8	"study rdfs"	rdfs:subClassOf	"rdfs"
8	"reasoning performance characteristics"	rdfs:subClassOf	"performance characteristics"
8	"rdfs reasoning performance characteristics"	rdfs:subClassOf	"reasoning performance characteristics"
8	"study rdfs reasoning performance characteristics"	rdfs:subClassOf	"rdfs reasoning performance characteristics"
8	"approach on study rdfs reasoning performance characteristics"	local:on_studyrdfsreasoningperformancecharacteristics	"approach"
8	"approach on study rdfs reasoning performance characteristics"	local:approach_on	"study rdfs reasoning performance characteristics"
8	"approach on study rdfs reasoning performance characteristics on different levels"	local:on_differentlevels	"approach on study rdfs reasoning performance characteristics"
8	"approach on study rdfs reasoning performance characteristics on different levels"	local:approachonstudyrdfsreasoningperformancecharacteristics_on	"different levels"
8	"different levels of parallelization"	local:of_parallelization	"different levels"
8	"different levels of parallelization"	local:differentlevels_of	"parallelization"
8	"evaluate"	vn.role:Theme	"approach on study rdfs reasoning performance characteristics on different levels"
9	"conclude"	vn.role:Agent	"our"
9	"careful"	rdfs:member	"careful optimizations"
9	"rdfs entailment"	rdfs:subClassOf	"entailment"
9	"rdfs"	rdfs:member	"rdfs entailment"
9	"careful optimizations"	rdfs:subClassOf	"optimizations"
9	"even more"	rdfs:subClassOf	"more"
9	"can benefit"	rdfs:subClassOf	"benefit"
9	"even more from careful optimizations"	local:from_carefuloptimizations	"even more"
9	"even more from careful optimizations"	local:evenmore_from	"careful optimizations"
9	"conclude"	vn.role:Theme	"can benefit"
9	"rdfs entailment"	rdfs:subClassOf	"entailment"
9	"rdfs"	rdfs:member	"rdfs entailment"
9	"benefit"	vn.role:Asset	"rdfs entailment"
9	"benefit"	local:AM-MOD	"can"
9	"even more"	rdfs:subClassOf	"more"
9	"benefit"	local:AM-MNR	"even more"
9	"careful"	rdfs:member	"careful optimizations"
9	"careful optimizations"	rdfs:subClassOf	"optimizations"
9	"benefit"	local:AM-EXT	"careful optimizations"
10	"careful"	rdfs:member	"careful optimizations"
10	"careful optimizations"	rdfs:subClassOf	"optimizations"
10	"take"	vn.role:Agent	"careful optimizations"
10	"account"	rdfs:member	"account intricacies"
10	"modern parallel hardware"	rdfs:subClassOf	"hardware"
10	"modern"	rdfs:member	"modern parallel"
10	"parallel"	rdfs:member	"parallel hardware"
10	"parallel hardware"	rdfs:subClassOf	"hardware"
10	"modern parallel"	rdfs:subClassOf	"parallel"
10	"account intricacies"	rdfs:subClassOf	"intricacies"
10	"modern parallel"	rdfs:member	"modern parallel hardware"
10	"modern parallel hardware"	rdfs:subClassOf	"parallel hardware"
10	"account intricacies of modern parallel hardware"	local:of_modernparallelhardware	"account intricacies"
10	"account intricacies of modern parallel hardware"	local:accountintricacies_of	"modern parallel hardware"
10	"take"	vn.role:Theme	"account intricacies of modern parallel hardware"
11	"conclude"	vn.role:Agent	"our"
11	"rdfs entailment"	rdfs:subClassOf	"entailment"
11	"rdfs"	rdfs:member	"rdfs entailment"
11	"well parallelization"	rdfs:subClassOf	"parallelization"
11	"rdfs rdfs entailment"	rdfs:subClassOf	"rdfs entailment"
11	"lends to well parallelization"	local:to_wellparallelization	"lends"
11	"lends to well parallelization"	local:lends_to	"well parallelization"
11	"conclude"	vn.role:Theme	"lends to well parallelization"
11	"rdfs entailment"	rdfs:subClassOf	"entailment"
11	"rdfs"	rdfs:member	"rdfs entailment"
11	"lends"	vn.role:Agent	"rdfs entailment"
11	"rdfs entailment"	rdfs:subClassOf	"entailment"
11	"rdfs"	rdfs:member	"rdfs entailment"
11	"lends"	vn.role:Theme	"rdfs entailment"
11	"lends"	local:AM-MNR	"well"
11	"rdfs entailment"	rdfs:subClassOf	"entailment"
11	"rdfs"	rdfs:member	"rdfs entailment"
11	"parallelization."	vn.role:subject	"rdfs entailment"
11	"rdfs entailment"	rdfs:subClassOf	"entailment"
11	"rdfs"	rdfs:member	"rdfs entailment"
11	"parallelization."	vn.role:subject	"rdfs entailment"
