0	"small fraction"	rdfs:subClassOf	"fraction"
6	"discuss"	vn.role:Patient1	"we"
6	"initial"	rdfs:member	"initial implementation"
6	"initial implementation"	rdfs:subClassOf	"implementation"
6	"rdf components"	rdfs:subClassOf	"components"
6	"rdf"	rdfs:member	"rdf components"
6	"holistic"	rdfs:member	"holistic framework"
6	"holistic framework"	rdfs:subClassOf	"framework"
6	"architecture of initial implementation"	local:of_initialimplementation	"architecture"
6	"architecture of initial implementation"	local:architecture_of	"initial implementation"
6	"initial implementation of each"	local:of_each	"initial implementation"
6	"initial implementation of each"	local:initialimplementation_of	"each"
6	"each of holistic framework"	local:of_holisticframework	"each"
6	"each of holistic framework"	local:each_of	"holistic framework"
6	"holistic framework for extraction"	local:for_extraction	"holistic framework"
6	"holistic framework for extraction"	local:holisticframework_for	"extraction"
6	"extraction of rdf components"	local:of_rdfcomponents	"extraction"
6	"extraction of rdf components"	local:extraction_of	"rdf components"
6	"discuss"	vn.role:Patient2	"architecture of initial implementation"
7	"discuss"	vn.role:Patient1	"we"
7	"open-source framework"	rdfs:subClassOf	"framework"
7	"open-source"	rdfs:member	"open-source framework"
7	"architecture of open-source framework"	local:of_open-sourceframework	"architecture"
7	"architecture of open-source framework"	local:architecture_of	"open-source framework"
7	"open-source framework for extraction"	local:for_extraction	"open-source framework"
7	"open-source framework for extraction"	local:open-sourceframework_for	"extraction"
7	"extraction of rdf"	local:of_rdf	"extraction"
7	"extraction of rdf"	local:extraction_of	"rdf"
7	"discuss"	vn.role:Patient2	"architecture of open-source framework"
8	"discuss"	vn.role:Patient1	"we"
8	"initial"	rdfs:member	"initial implementation"
8	"open-source"	rdfs:member	"open-source framework"
8	"initial implementation"	rdfs:subClassOf	"implementation"
8	"rdf components"	rdfs:subClassOf	"components"
8	"rdf"	rdfs:member	"rdf components"
8	"open-source framework"	rdfs:subClassOf	"framework"
8	"architecture of initial implementation"	local:of_initialimplementation	"architecture"
8	"architecture of initial implementation"	local:architecture_of	"initial implementation"
8	"initial implementation of each"	local:of_each	"initial implementation"
8	"initial implementation of each"	local:initialimplementation_of	"each"
8	"each of open-source framework"	local:of_open-sourceframework	"each"
8	"each of open-source framework"	local:each_of	"open-source framework"
8	"open-source framework for extraction"	local:for_extraction	"open-source framework"
8	"open-source framework for extraction"	local:open-sourceframework_for	"extraction"
8	"extraction of rdf components"	local:of_rdfcomponents	"extraction"
8	"extraction of rdf components"	local:extraction_of	"rdf components"
8	"discuss"	vn.role:Patient2	"architecture of initial implementation"
9	"discuss"	vn.role:Patient1	"we"
9	"holistic"	rdfs:member	"holistic framework"
9	"holistic framework"	rdfs:subClassOf	"framework"
9	"architecture of holistic framework"	local:of_holisticframework	"architecture"
9	"architecture of holistic framework"	local:architecture_of	"holistic framework"
9	"holistic framework for extraction"	local:for_extraction	"holistic framework"
9	"holistic framework for extraction"	local:holisticframework_for	"extraction"
9	"extraction of rdf"	local:of_rdf	"extraction"
9	"extraction of rdf"	local:extraction_of	"rdf"
9	"discuss"	vn.role:Patient2	"architecture of holistic framework"
10	"present"	local:AM-LOC	"particular"
10	"present"	vn.role:Agent	"we"
10	"novel"	rdfs:member	"novel wrapper"
10	"wrapper induction"	rdfs:member	"wrapper induction technique"
10	"novel wrapper induction"	rdfs:member	"novel wrapper induction technique"
10	"novel wrapper induction"	rdfs:subClassOf	"induction"
10	"wrapper induction technique"	rdfs:subClassOf	"technique"
10	"induction"	rdfs:member	"induction technique"
10	"induction technique"	rdfs:subClassOf	"technique"
10	"novel wrapper induction technique"	rdfs:subClassOf	"technique"
10	"novel wrapper"	rdfs:subClassOf	"wrapper"
10	"novel wrapper"	rdfs:member	"novel wrapper induction"
10	"wrapper"	rdfs:member	"wrapper induction"
10	"wrapper induction"	rdfs:subClassOf	"induction"
10	"wrapper induction technique"	rdfs:subClassOf	"induction technique"
10	"novel wrapper induction technique"	rdfs:subClassOf	"wrapper induction technique"
10	"present"	vn.role:Theme	"novel wrapper induction technique"
11	"novel"	rdfs:member	"novel wrapper"
11	"wrapper induction"	rdfs:member	"wrapper induction technique"
11	"novel wrapper induction"	rdfs:member	"novel wrapper induction technique"
11	"novel wrapper induction"	rdfs:subClassOf	"induction"
11	"wrapper induction technique"	rdfs:subClassOf	"technique"
11	"induction"	rdfs:member	"induction technique"
11	"induction technique"	rdfs:subClassOf	"technique"
11	"novel wrapper induction technique"	rdfs:subClassOf	"technique"
11	"novel wrapper"	rdfs:subClassOf	"wrapper"
11	"novel wrapper"	rdfs:member	"novel wrapper induction"
11	"wrapper"	rdfs:member	"wrapper induction"
11	"wrapper induction"	rdfs:subClassOf	"induction"
11	"wrapper induction technique"	rdfs:subClassOf	"induction technique"
11	"novel wrapper induction technique"	rdfs:subClassOf	"wrapper induction technique"
11	"require"	vn.role:Agent	"novel wrapper induction technique"
11	"require"	local:AM-NEG	"not"
11	"human"	rdfs:member	"human supervision"
11	"human supervision"	rdfs:subClassOf	"supervision"
11	"require"	vn.role:Patient	"human supervision"
11	"human"	rdfs:member	"human supervision"
11	"human supervision"	rdfs:subClassOf	"supervision"
11	"detect"	vn.role:Experiencer	"human supervision"
11	"detect"	vn.role:Stimulus	"wrappers"
12	"consistency layer"	rdfs:subClassOf	"layer"
12	"consistency"	rdfs:member	"consistency layer"
12	"consistency layer with which"	local:with_which	"consistency layer"
12	"consistency layer with which"	local:consistencylayer_with	"which"
12	"checked"	vn.role:Stimulus	"consistency layer with which"
12	"checked"	local:AM-MOD	"can"
12	"logical"	rdfs:member	"logical consistency"
12	"logical consistency"	rdfs:subClassOf	"consistency"
12	"checked"	vn.role:indirect_object	"logical consistency"
13	"extracted"	vn.role:Theme	"data"
13	"extracted"	vn.role:Agent	"wrappers"
14	"holistic"	rdfs:member	"holistic framework"
14	"holistic framework"	rdfs:subClassOf	"framework"
14	"holistic framework for extraction"	local:for_extraction	"holistic framework"
14	"holistic framework for extraction"	local:holisticframework_for	"extraction"
14	"extraction of rdf"	local:of_rdf	"extraction"
14	"extraction of rdf"	local:extraction_of	"rdf"
14	"includes"	vn.role:Location	"holistic framework for extraction"
14	"includes"	local:AM-DIS	"also"
14	"consistency layer"	rdfs:subClassOf	"layer"
14	"consistency"	rdfs:member	"consistency layer"
14	"includes"	vn.role:Theme	"consistency layer"
15	"open-source framework"	rdfs:subClassOf	"framework"
15	"open-source"	rdfs:member	"open-source framework"
15	"open-source framework for extraction"	local:for_extraction	"open-source framework"
15	"open-source framework for extraction"	local:open-sourceframework_for	"extraction"
15	"extraction of rdf"	local:of_rdf	"extraction"
15	"extraction of rdf"	local:extraction_of	"rdf"
15	"includes"	vn.role:Location	"open-source framework for extraction"
15	"includes"	local:AM-DIS	"also"
15	"consistency layer"	rdfs:subClassOf	"layer"
15	"consistency"	rdfs:member	"consistency layer"
15	"includes"	vn.role:Theme	"consistency layer"
16	"evaluate"	vn.role:Agent	"we"
16	"different"	rdfs:member	"different datasets"
16	"initial"	rdfs:member	"initial version"
16	"different datasets"	rdfs:subClassOf	"datasets"
16	"initial version"	rdfs:subClassOf	"version"
16	"three different datasets"	rdfs:subClassOf	"different datasets"
16	"initial version of rex"	local:of_rex	"initial version"
16	"initial version of rex"	local:initialversion_of	"rex"
16	"initial version of rex on three different datasets"	local:on_threedifferentdatasets	"initial version of rex"
16	"initial version of rex on three different datasets"	local:initialversionofrex_on	"three different datasets"
16	"evaluate"	vn.role:Theme	"initial version of rex on three different datasets"
17	"results"	vn.role:Theme	"we"
17	"results"	local:AM-MNR	"clearly"
17	"web"	rdfs:member	"web pages"
17	"data cloud"	rdfs:subClassOf	"cloud"
17	"data"	rdfs:member	"data cloud"
17	"web pages"	rdfs:subClassOf	"pages"
17	"linked data cloud"	rdfs:subClassOf	"data cloud"
17	"templated web pages"	rdfs:subClassOf	"web pages"
17	"results"	vn.role:Location	"potential"
17	"show"	vn.role:Agent	"results"
17	"show"	local:AM-ADV	"clearly"
17	"web"	rdfs:member	"web pages"
17	"data cloud"	rdfs:subClassOf	"cloud"
17	"data"	rdfs:member	"data cloud"
17	"web pages"	rdfs:subClassOf	"pages"
17	"linked data cloud"	rdfs:subClassOf	"data cloud"
17	"templated web pages"	rdfs:subClassOf	"web pages"
17	"show"	vn.role:Theme	"potential"
17	"using"	vn.role:Agent	"we"
17	"web"	rdfs:member	"web pages"
17	"web pages"	rdfs:subClassOf	"pages"
17	"templated web pages"	rdfs:subClassOf	"web pages"
17	"using"	vn.role:Theme	"templated web pages"
17	"data cloud"	rdfs:subClassOf	"cloud"
17	"data"	rdfs:member	"data cloud"
17	"linked data cloud"	rdfs:subClassOf	"data cloud"
17	"using"	vn.role:Recipient	"extend"
17	"extend"	vn.role:Agent	"we"
17	"data cloud"	rdfs:subClassOf	"cloud"
17	"data"	rdfs:member	"data cloud"
17	"linked data cloud"	rdfs:subClassOf	"data cloud"
17	"extend"	vn.role:Recipient	"linked data cloud"
18	"our results"	rdfs:subClassOf	"results"
18	"indicate"	vn.role:Recipient	"moreover"
18	"current"	rdfs:member	"current implementations"
18	"current implementations"	rdfs:subClassOf	"implementations"
18	"weaknesses of current implementations"	local:of_currentimplementations	"weaknesses"
18	"weaknesses of current implementations"	local:weaknesses_of	"current implementations"
18	"indicate"	vn.role:Cause	"weaknesses of current implementations"
19	"our results"	rdfs:subClassOf	"results"
19	"indicate"	vn.role:Recipient	"moreover"
19	"current"	rdfs:member	"current implementations"
19	"current implementations"	rdfs:subClassOf	"implementations"
19	"can extended"	rdfs:subClassOf	"extended"
19	"our current implementations"	rdfs:subClassOf	"current implementations"
19	"how can extended"	rdfs:subClassOf	"can extended"
19	"weaknesses of we"	local:of_we	"weaknesses"
19	"weaknesses of we"	local:weaknesses_of	"we"
19	"indicate"	vn.role:Cause	"weaknesses of we"
