0	"semantic formalisms"	rdfs:subClassOf	"formalisms"
7	"visualization of semantic data according_to e.g. time"	local:according_to_e.g.time	"visualization of semantic data"
7	"visualization of semantic data according_to e.g. time"	local:visualizationofsemanticdata_according_to	"e.g. time"
7	"provides"	vn.role:Recipient	"show"
7	"effective"	rdfs:member	"effective sense-making"
7	"effective sense-making"	rdfs:subClassOf	"sense-making"
7	"effective sense-making of data"	local:of_data	"effective sense-making"
7	"effective sense-making of data"	local:effectivesense-making_of	"data"
7	"provides"	vn.role:Agent	"effective sense-making of data"
8	"show"	vn.role:Agent	"we"
8	"semantic data"	rdfs:subClassOf	"data"
8	"effective"	rdfs:member	"effective sense-making"
8	"user consumption"	rdfs:subClassOf	"consumption"
8	"semantic"	rdfs:member	"semantic data"
8	"user"	rdfs:member	"user consumption"
8	"effective sense-making"	rdfs:subClassOf	"sense-making"
8	"e.g. space"	rdfs:subClassOf	"space"
8	"how provides"	rdfs:subClassOf	"provides"
8	"how provides for user consumption"	local:for_userconsumption	"how provides"
8	"how provides for user consumption"	local:howprovides_for	"user consumption"
8	"visualization of semantic data"	local:of_semanticdata	"visualization"
8	"visualization of semantic data"	local:visualization_of	"semantic data"
8	"visualization of semantic data according_to e.g. space"	local:according_to_e.g.space	"visualization of semantic data"
8	"visualization of semantic data according_to e.g. space"	local:visualizationofsemanticdata_according_to	"e.g. space"
8	"effective sense-making of data"	local:of_data	"effective sense-making"
8	"effective sense-making of data"	local:effectivesense-making_of	"data"
8	"show"	vn.role:Theme	"how provides for user consumption"
8	"semantic data"	rdfs:subClassOf	"data"
8	"user consumption"	rdfs:subClassOf	"consumption"
8	"semantic"	rdfs:member	"semantic data"
8	"user"	rdfs:member	"user consumption"
8	"e.g. space"	rdfs:subClassOf	"space"
8	"visualization of semantic data"	local:of_semanticdata	"visualization"
8	"visualization of semantic data"	local:visualization_of	"semantic data"
8	"visualization of semantic data according_to e.g. space"	local:according_to_e.g.space	"visualization of semantic data"
8	"visualization of semantic data according_to e.g. space"	local:visualizationofsemanticdata_according_to	"e.g. space"
8	"provides"	vn.role:Recipient	"show"
8	"effective"	rdfs:member	"effective sense-making"
8	"effective sense-making"	rdfs:subClassOf	"sense-making"
8	"effective sense-making of data"	local:of_data	"effective sense-making"
8	"effective sense-making of data"	local:effectivesense-making_of	"data"
8	"provides"	vn.role:Agent	"effective sense-making of data"
9	"show"	vn.role:Agent	"we"
9	"semantic data"	rdfs:subClassOf	"data"
9	"easily"	rdfs:member	"easily graspable"
9	"effective"	rdfs:member	"effective sense-making"
9	"user consumption"	rdfs:subClassOf	"consumption"
9	"graspable"	rdfs:member	"graspable dimensions"
9	"easily graspable"	rdfs:subClassOf	"graspable"
9	"semantic"	rdfs:member	"semantic data"
9	"user"	rdfs:member	"user consumption"
9	"graspable dimensions"	rdfs:subClassOf	"dimensions"
9	"easily graspable dimensions"	rdfs:subClassOf	"dimensions"
9	"easily graspable"	rdfs:member	"easily graspable dimensions"
9	"effective sense-making"	rdfs:subClassOf	"sense-making"
9	"how provides"	rdfs:subClassOf	"provides"
9	"how provides for user consumption"	local:for_userconsumption	"how provides"
9	"how provides for user consumption"	local:howprovides_for	"user consumption"
9	"visualization of semantic data"	local:of_semanticdata	"visualization"
9	"visualization of semantic data"	local:visualization_of	"semantic data"
9	"visualization of semantic data according_to graspable dimensions"	local:according_to_graspabledimensions	"visualization of semantic data"
9	"visualization of semantic data according_to graspable dimensions"	local:visualizationofsemanticdata_according_to	"graspable dimensions"
9	"effective sense-making of data"	local:of_data	"effective sense-making"
9	"effective sense-making of data"	local:effectivesense-making_of	"data"
9	"show"	vn.role:Theme	"how provides for user consumption"
9	"semantic data"	rdfs:subClassOf	"data"
9	"easily"	rdfs:member	"easily graspable"
9	"user consumption"	rdfs:subClassOf	"consumption"
9	"graspable"	rdfs:member	"graspable dimensions"
9	"easily graspable"	rdfs:subClassOf	"graspable"
9	"user"	rdfs:member	"user consumption"
9	"semantic"	rdfs:member	"semantic data"
9	"graspable dimensions"	rdfs:subClassOf	"dimensions"
9	"easily graspable dimensions"	rdfs:subClassOf	"dimensions"
9	"easily graspable"	rdfs:member	"easily graspable dimensions"
9	"visualization of semantic data"	local:of_semanticdata	"visualization"
9	"visualization of semantic data"	local:visualization_of	"semantic data"
9	"visualization of semantic data according_to graspable dimensions"	local:according_to_graspabledimensions	"visualization of semantic data"
9	"visualization of semantic data according_to graspable dimensions"	local:visualizationofsemanticdata_according_to	"graspable dimensions"
9	"provides"	vn.role:Recipient	"show"
9	"effective"	rdfs:member	"effective sense-making"
9	"effective sense-making"	rdfs:subClassOf	"sense-making"
9	"effective sense-making of data"	local:of_data	"effective sense-making"
9	"effective sense-making of data"	local:effectivesense-making_of	"data"
9	"provides"	vn.role:Agent	"effective sense-making of data"
10	"look"	local:AM-LOC	"paper"
10	"look"	vn.role:Experiencer	"we"
10	"look"	vn.role:Stimulus	"holistically"
10	"interaction between users"	local:between_users	"interaction"
10	"interaction between users"	local:interaction_between	"users"
10	"look"	local:AM-LOC	"interaction between users"
11	"propose"	local:AM-LOC	"paper"
11	"propose"	vn.role:Agent	"we"
11	"dynamic filters"	rdfs:subClassOf	"filters"
11	"dynamic"	rdfs:member	"dynamic filters"
11	"semantic-rich data"	rdfs:subClassOf	"data"
11	"semantic-rich"	rdfs:member	"semantic-rich data"
11	"exploration of semantic-rich data"	local:of_semantic-richdata	"exploration"
11	"exploration of semantic-rich data"	local:exploration_of	"semantic-rich data"
11	"propose"	vn.role:Topic	"dynamic filters"
11	"dynamic filters"	rdfs:subClassOf	"filters"
11	"dynamic"	rdfs:member	"dynamic filters"
11	"support"	vn.role:Theme	"dynamic filters"
11	"semantic-rich data"	rdfs:subClassOf	"data"
11	"semantic-rich"	rdfs:member	"semantic-rich data"
11	"exploration of semantic-rich data"	local:of_semantic-richdata	"exploration"
11	"exploration of semantic-rich data"	local:exploration_of	"semantic-rich data"
11	"support"	vn.role:Experiencer	"exploration of semantic-rich data"
12	"look"	local:AM-LOC	"paper"
12	"look"	vn.role:Experiencer	"we"
12	"look"	vn.role:Stimulus	"holistically"
12	"semantic data"	rdfs:subClassOf	"data"
12	"semantic"	rdfs:member	"semantic data"
12	"interaction between semantic data"	local:between_semanticdata	"interaction"
12	"interaction between semantic data"	local:interaction_between	"semantic data"
12	"look"	local:AM-LOC	"interaction between semantic data"
13	"propose"	local:AM-LOC	"paper"
13	"propose"	vn.role:Agent	"we"
13	"visualization strategies"	rdfs:subClassOf	"strategies"
13	"multiple"	rdfs:member	"multiple visualization"
13	"multiple visualization"	rdfs:subClassOf	"visualization"
13	"multiple visualization"	rdfs:member	"multiple visualization strategies"
13	"visualization"	rdfs:member	"visualization strategies"
13	"multiple visualization strategies"	rdfs:subClassOf	"strategies"
13	"multiple visualization strategies"	rdfs:subClassOf	"visualization strategies"
13	"propose"	vn.role:Topic	"multiple visualization strategies"
13	"semantic-rich data"	rdfs:subClassOf	"data"
13	"semantic-rich"	rdfs:member	"semantic-rich data"
13	"exploration of semantic-rich data"	local:of_semantic-richdata	"exploration"
13	"exploration of semantic-rich data"	local:exploration_of	"semantic-rich data"
13	"propose"	local:AM-PNC	"support"
13	"visualization strategies"	rdfs:subClassOf	"strategies"
13	"multiple"	rdfs:member	"multiple visualization"
13	"multiple visualization"	rdfs:subClassOf	"visualization"
13	"multiple visualization"	rdfs:member	"multiple visualization strategies"
13	"visualization"	rdfs:member	"visualization strategies"
13	"multiple visualization strategies"	rdfs:subClassOf	"strategies"
13	"multiple visualization strategies"	rdfs:subClassOf	"visualization strategies"
13	"support"	vn.role:Theme	"multiple visualization strategies"
13	"semantic-rich data"	rdfs:subClassOf	"data"
13	"semantic-rich"	rdfs:member	"semantic-rich data"
13	"exploration of semantic-rich data"	local:of_semantic-richdata	"exploration"
13	"exploration of semantic-rich data"	local:exploration_of	"semantic-rich data"
13	"support"	vn.role:Experiencer	"exploration of semantic-rich data"
14	"discuss"	vn.role:Patient1	"we"
14	"semantic data"	rdfs:subClassOf	"data"
14	"effective"	rdfs:member	"effective user-centred"
14	"interaction"	rdfs:member	"interaction challenges"
14	"user-centred"	rdfs:member	"user-centred framework"
14	"effective user-centred"	rdfs:member	"effective user-centred framework"
14	"interaction challenges"	rdfs:subClassOf	"challenges"
14	"semantic"	rdfs:member	"semantic data"
14	"effective user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred"	rdfs:subClassOf	"user-centred"
14	"user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred framework"	rdfs:subClassOf	"user-centred framework"
14	"could overcome"	rdfs:subClassOf	"overcome"
14	"effective user-centred framework for visualization"	local:for_visualization	"effective user-centred framework"
14	"effective user-centred framework for visualization"	local:effectiveuser-centredframework_for	"visualization"
14	"effective user-centred framework for visualization for manipulation"	local:for_manipulation	"effective user-centred framework for visualization"
14	"effective user-centred framework for visualization for manipulation"	local:effectiveuser-centredframeworkforvisualization_for	"manipulation"
14	"visualization of semantic data"	local:of_semanticdata	"visualization"
14	"visualization of semantic data"	local:visualization_of	"semantic data"
14	"discuss"	vn.role:Patient2	"could overcome"
14	"interaction"	rdfs:member	"interaction challenges"
14	"interaction challenges"	rdfs:subClassOf	"challenges"
14	"overcome"	vn.role:Theme2	"interaction challenges"
14	"overcome"	local:AM-MOD	"could"
14	"semantic data"	rdfs:subClassOf	"data"
14	"effective"	rdfs:member	"effective user-centred"
14	"user-centred"	rdfs:member	"user-centred framework"
14	"effective user-centred"	rdfs:member	"effective user-centred framework"
14	"semantic"	rdfs:member	"semantic data"
14	"effective user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred"	rdfs:subClassOf	"user-centred"
14	"user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred framework"	rdfs:subClassOf	"user-centred framework"
14	"effective user-centred framework for visualization"	local:for_visualization	"effective user-centred framework"
14	"effective user-centred framework for visualization"	local:effectiveuser-centredframework_for	"visualization"
14	"effective user-centred framework for visualization for manipulation"	local:for_manipulation	"effective user-centred framework for visualization"
14	"effective user-centred framework for visualization for manipulation"	local:effectiveuser-centredframeworkforvisualization_for	"manipulation"
14	"visualization of semantic data"	local:of_semanticdata	"visualization"
14	"visualization of semantic data"	local:visualization_of	"semantic data"
14	"overcome"	local:AM-PNC	"create"
14	"semantic data"	rdfs:subClassOf	"data"
14	"effective"	rdfs:member	"effective user-centred"
14	"user-centred"	rdfs:member	"user-centred framework"
14	"effective user-centred"	rdfs:member	"effective user-centred framework"
14	"semantic"	rdfs:member	"semantic data"
14	"effective user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred"	rdfs:subClassOf	"user-centred"
14	"user-centred framework"	rdfs:subClassOf	"framework"
14	"effective user-centred framework"	rdfs:subClassOf	"user-centred framework"
14	"effective user-centred framework for visualization"	local:for_visualization	"effective user-centred framework"
14	"effective user-centred framework for visualization"	local:effectiveuser-centredframework_for	"visualization"
14	"effective user-centred framework for visualization for manipulation"	local:for_manipulation	"effective user-centred framework for visualization"
14	"effective user-centred framework for visualization for manipulation"	local:effectiveuser-centredframeworkforvisualization_for	"manipulation"
14	"visualization of semantic data"	local:of_semanticdata	"visualization"
14	"visualization of semantic data"	local:visualization_of	"semantic data"
14	"create"	vn.role:Product	"effective user-centred framework for visualization for manipulation"
15	"discuss"	vn.role:Patient1	"we"
15	"user evaluation"	rdfs:subClassOf	"evaluation"
15	"user"	rdfs:member	"user evaluation"
15	"discuss"	vn.role:Patient2	"user evaluation"
16	"implemented"	vn.role:Theme	"approach"
16	"company archive"	rdfs:subClassOf	"archive"
16	"real company"	rdfs:subClassOf	"company"
16	"company"	rdfs:member	"company archive"
16	"real company"	rdfs:member	"real company archive"
16	"real company archive"	rdfs:subClassOf	"archive"
16	"real"	rdfs:member	"real company"
16	"real company archive"	rdfs:subClassOf	"company archive"
16	"implemented"	local:AM-ADV	"real company archive"
17	"evaluated"	vn.role:Theme	"approach"
17	"company archive"	rdfs:subClassOf	"archive"
17	"real company"	rdfs:subClassOf	"company"
17	"company"	rdfs:member	"company archive"
17	"real company"	rdfs:member	"real company archive"
17	"real company archive"	rdfs:subClassOf	"archive"
17	"real"	rdfs:member	"real company"
17	"real company archive"	rdfs:subClassOf	"company archive"
17	"evaluated"	local:AM-ADV	"real company archive"
