s26.1	"monitoring"
s26.1	"monitoring"	rdf:predicate	"monitor"
s22	"coronavirus disease"	rdfs:subClassOf	"disease"
s22	"coronavirus disease"	rdfs:member	"coronavirus"
s22	"2019 disease"	rdfs:subClassOf	"disease"
s22	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s22	"mortality after coronavirus 2019 disease"	rdfs:member	"mortality"
s22	"mortality after coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s22	"mortality after coronavirus disease 2019 infection not differ to the presence of epilepsy history"	rdf:predicate	"not differ"
s22	"mortality after coronavirus disease 2019 infection not differ to the presence of epilepsy history"	rdf:object	"presence of epilepsy history"
s22	"presence of epilepsy history"	rdfs:member	"epilepsy history"
s22	"presence of epilepsy history"	rdfs:member	"presence"
s22	"epilepsy history"	rdfs:member	"epilepsy"
s22	"epilepsy history"	rdfs:subClassOf	"history"
s22	"presence of epilepsy history"	rdfs:member	"presence"
s22	"presence of epilepsy history"	rdfs:member	"epilepsy history"
s21.1	"propensity score matching the presence of epilepsy associated with the occurrence of severe complications after coronavirus disease 2019 infection"
s21.1	"propensity score matching the presence of epilepsy associated with the occurrence of severe complications after coronavirus disease 2019 infection"	rdf:subject	"propensity score match the presence of epilepsy"
s21.1	"propensity score match the presence of epilepsy"	rdfs:member	"epilepsy"
s21.1	"propensity score match the presence of epilepsy"	rdfs:member	"propensity score"
s21.1	"propensity score match the presence of epilepsy"	rdfs:member	"presence"
s21.1	"propensity score"	rdfs:member	"propensity"
s21.1	"propensity score"	rdfs:subClassOf	"score"
s21.1	"presence of epilepsy"	rdfs:member	"presence"
s21.1	"presence of epilepsy"	rdfs:member	"epilepsy"
s21.1	"propensity score matching the presence of epilepsy associated with the occurrence of severe complications after coronavirus disease 2019 infection"	rdf:predicate	"associate"
s21.1	"propensity score matching the presence of epilepsy associated with the occurrence of severe complications after coronavirus disease 2019 infection"	rdf:object	"occurrence of severe complication after coronavirus disease 2019 infection"
s21.1	"occurrence of severe complication after coronavirus disease 2019 infection"	rdfs:member	"infection"
s21.1	"occurrence of severe complication after coronavirus disease 2019 infection"	rdfs:member	"severe complication"
s21.1	"occurrence of severe complication after coronavirus disease 2019 infection"	rdfs:member	"coronavirus disease"
s21.1	"occurrence of severe complication after coronavirus disease 2019 infection"	rdfs:member	"occurrence"
s21.1	"severe complication"	rdfs:subClassOf	"complication"
s21.1	"severe complication"	rdfs:member	"severe"
s21.1	"coronavirus disease"	rdfs:subClassOf	"disease"
s21.1	"coronavirus disease"	rdfs:member	"coronavirus"
s21.1	"2019 disease"	rdfs:subClassOf	"disease"
s21.1	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s21.1	"occurrence of severe complication"	rdfs:member	"occurrence"
s21.1	"occurrence of severe complication"	rdfs:member	"severe complication"
s21.1	"occurrence of severe complication after coronavirus 2019 disease"	rdfs:member	"occurrence of severe complication"
s21.1	"occurrence of severe complication after coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s21	"propensity score matching the presence of epilepsy"
s21	"propensity score matching the presence of epilepsy"	rdf:subject	"propensity score"
s21	"propensity score"	rdfs:member	"propensity"
s21	"propensity score"	rdfs:subClassOf	"score"
s21	"propensity score matching the presence of epilepsy"	rdf:predicate	"match"
s21	"propensity score matching the presence of epilepsy"	rdf:object	"presence of epilepsy"
s21	"presence of epilepsy"	rdfs:member	"epilepsy"
s21	"presence of epilepsy"	rdfs:member	"presence"
s21	"presence of epilepsy"	rdfs:member	"presence"
s21	"presence of epilepsy"	rdfs:member	"epilepsy"
s20	"among the patients with coronavirus disease 2019 severe complications occurred in 444 individuals"
s20	"among the patients with coronavirus disease 2019 severe complications occurred in 444 individuals"	rdf:subject	"2019 severe complication"
s20	"severe complication"	rdfs:subClassOf	"complication"
s20	"severe complication"	rdfs:member	"severe"
s20	"2019 severe complication"	rdfs:subClassOf	"severe complication"
s20	"among the patients with coronavirus disease 2019 severe complications occurred in 444 individuals"	rdf:predicate	"occur"
s20	"among the patients with coronavirus disease 2019 severe complications occurred in 444 individuals"	local:AM-LOC	"among the patient with coronavirus disease"
s20	"among the patient with coronavirus disease"	rdfs:member	"coronavirus disease"
s20	"among the patient with coronavirus disease"	rdfs:member	"patient"
s20	"coronavirus disease"	rdfs:subClassOf	"disease"
s20	"coronavirus disease"	rdfs:member	"coronavirus"
s20	"patient with coronavirus disease"	rdfs:member	"patient"
s20	"patient with coronavirus disease"	rdfs:member	"coronavirus disease"
s20	"among the patients with coronavirus disease 2019 severe complications occurred in 444 individuals"	local:AM-LOC	"444 individual"
s20	"444 individual"	rdfs:subClassOf	"individual"
s19.1	"the 7713 individuals with confirmed coronavirus disease 2019 infection 2019 infection 72 had a history of epilepsy"
s19.1	"the 7713 individuals with confirmed coronavirus disease 2019 infection 2019 infection 72 had a history of epilepsy"	rdf:subject	"7713 individual with confirm coronavirus disease 2019 infection 2019 infection 72"
s19.1	"7713 individual with confirm coronavirus disease 2019 infection 2019 infection 72"	rdfs:member	"confirm coronavirus disease"
s19.1	"7713 individual with confirm coronavirus disease 2019 infection 2019 infection 72"	rdfs:member	"infection"
s19.1	"confirm coronavirus"	rdfs:subClassOf	"coronavirus"
s19.1	"confirm coronavirus disease"	rdfs:subClassOf	"disease"
s19.1	"coronavirus disease"	rdfs:subClassOf	"disease"
s19.1	"coronavirus disease"	rdfs:member	"coronavirus"
s19.1	"confirm coronavirus"	rdfs:member	"confirm"
s19.1	"confirm coronavirus disease"	rdfs:member	"confirm coronavirus"
s19.1	"2019 infection"	rdfs:subClassOf	"infection"
s19.1	"2019 2019 infection"	rdfs:subClassOf	"2019 infection"
s19.1	"7713 individual"	rdfs:subClassOf	"individual"
s19.1	"the 7713 individuals with confirmed coronavirus disease 2019 infection 2019 infection 72 had a history of epilepsy"	rdf:predicate	"have"
s19.1	"the 7713 individuals with confirmed coronavirus disease 2019 infection 2019 infection 72 had a history of epilepsy"	rdf:object	"history of epilepsy"
s19.1	"history of epilepsy"	rdfs:member	"epilepsy"
s19.1	"history of epilepsy"	rdfs:member	"history"
s19.1	"history of epilepsy"	rdfs:member	"history"
s19.1	"history of epilepsy"	rdfs:member	"epilepsy"
s19	"confirmed coronavirus disease 2019 infection 2019 infection 72"
s19	"confirmed coronavirus disease 2019 infection 2019 infection 72"	rdf:subject	"coronavirus disease 2019 infection 2019 infection 72"
s19	"coronavirus disease 2019 infection 2019 infection 72"	rdfs:member	"infection"
s19	"coronavirus disease 2019 infection 2019 infection 72"	rdfs:member	"coronavirus disease"
s19	"coronavirus disease"	rdfs:subClassOf	"disease"
s19	"coronavirus disease"	rdfs:member	"coronavirus"
s19	"2019 infection"	rdfs:subClassOf	"infection"
s19	"2019 2019 infection"	rdfs:subClassOf	"2019 infection"
s19	"confirmed coronavirus disease 2019 infection 2019 infection 72"	rdf:predicate	"confirm"
s18	"propensity score matching there"
s18	"propensity score matching there"	rdf:subject	"propensity score"
s18	"propensity score"	rdfs:member	"propensity"
s18	"propensity score"	rdfs:subClassOf	"score"
s18	"propensity score matching there"	rdf:predicate	"match"
s18	"propensity score matching there"	rdf:object	"there"
s17	"among 212678 study participants 3919 had a history of epilepsy"
s17	"among 212678 study participants 3919 had a history of epilepsy"	rdf:subject	"history of epilepsy"
s17	"history of epilepsy"	rdfs:member	"epilepsy"
s17	"history of epilepsy"	rdfs:member	"history"
s17	"history of epilepsy"	rdfs:member	"history"
s17	"history of epilepsy"	rdfs:member	"epilepsy"
s17	"among 212678 study participants 3919 had a history of epilepsy"	rdf:predicate	"have"
s17	"among 212678 study participants 3919 had a history of epilepsy"	local:AM-LOC	"among 212678 study participant 3919"
s17	"study participant"	rdfs:member	"study"
s17	"study participant"	rdfs:subClassOf	"participant"
s17	"3919 participant"	rdfs:subClassOf	"participant"
s17	"study 3919 participant"	rdfs:subClassOf	"3919 participant"
s17	"212678 study 3919 participant"	rdfs:subClassOf	"study 3919 participant"
s16	"212678 study participants who underwent a coronavirus disease 2019 test"
s16	"212678 study participants who underwent a coronavirus disease 2019 test"	rdf:subject	"212678 study participant"
s16	"study participant"	rdfs:member	"study"
s16	"study participant"	rdfs:subClassOf	"participant"
s16	"212678 study"	rdfs:subClassOf	"study"
s16	"212678 study participants who underwent a coronavirus disease 2019 test"	rdf:predicate	"undergo"
s16	"212678 study participants who underwent a coronavirus disease 2019 test"	rdf:object	"coronavirus disease 2019 test"
s16	"coronavirus disease 2019 test"	rdfs:member	"test"
s16	"coronavirus disease 2019 test"	rdfs:member	"coronavirus disease"
s16	"coronavirus disease"	rdfs:subClassOf	"disease"
s16	"coronavirus disease"	rdfs:member	"coronavirus"
s16	"2019 disease"	rdfs:subClassOf	"disease"
s16	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s15	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of mechanical ventilation within 2 months after coronavirus disease 2019 infection 2019 diagnosis"
s15	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of mechanical ventilation within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:subject	"severe complication with coronavirus disease 2019 infection"
s15	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"infection"
s15	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"severe complication"
s15	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"coronavirus disease"
s15	"severe complication"	rdfs:subClassOf	"complication"
s15	"severe complication"	rdfs:member	"severe"
s15	"coronavirus disease"	rdfs:subClassOf	"disease"
s15	"coronavirus disease"	rdfs:member	"coronavirus"
s15	"2019 disease"	rdfs:subClassOf	"disease"
s15	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s15	"severe complication with coronavirus 2019 disease"	rdfs:member	"severe complication"
s15	"severe complication with coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s15	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of mechanical ventilation within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:predicate	"define"
s15	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of mechanical ventilation within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:object	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"infection"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"month"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"coronavirus disease"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"composite"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"diagnosis"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"mechanical ventilation"
s15	"composite of the incidence of mechanical ventilation within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"incidence"
s15	"coronavirus disease"	rdfs:subClassOf	"disease"
s15	"mechanical ventilation"	rdfs:subClassOf	"ventilation"
s15	"mechanical ventilation"	rdfs:member	"mechanical"
s15	"coronavirus disease"	rdfs:member	"coronavirus"
s15	"2019 diagnosis"	rdfs:subClassOf	"diagnosis"
s15	"2019 infection"	rdfs:subClassOf	"infection"
s15	"2 month"	rdfs:subClassOf	"month"
s15	"composite of incidence"	rdfs:member	"composite"
s15	"composite of incidence"	rdfs:member	"incidence"
s15	"incidence of mechanical ventilation"	rdfs:member	"incidence"
s15	"incidence of mechanical ventilation"	rdfs:member	"mechanical ventilation"
s15	"composite of incidence within 2 month"	rdfs:member	"composite of incidence"
s15	"composite of incidence within 2 month"	rdfs:member	"2 month"
s15	"composite of incidence within 2 month after coronavirus disease"	rdfs:member	"composite of incidence within 2 month"
s15	"composite of incidence within 2 month after coronavirus disease"	rdfs:member	"coronavirus disease"
s14	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of death within 2 months after coronavirus disease 2019 infection 2019 diagnosis"
s14	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of death within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:subject	"severe complication with coronavirus disease 2019 infection"
s14	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"infection"
s14	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"severe complication"
s14	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"coronavirus disease"
s14	"severe complication"	rdfs:subClassOf	"complication"
s14	"severe complication"	rdfs:member	"severe"
s14	"coronavirus disease"	rdfs:subClassOf	"disease"
s14	"coronavirus disease"	rdfs:member	"coronavirus"
s14	"2019 disease"	rdfs:subClassOf	"disease"
s14	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s14	"severe complication with coronavirus 2019 disease"	rdfs:member	"severe complication"
s14	"severe complication with coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s14	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of death within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:predicate	"define"
s14	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of death within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:object	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"infection"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"month"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"coronavirus disease"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"composite"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"diagnosis"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"death"
s14	"composite of the incidence of death within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"incidence"
s14	"coronavirus disease"	rdfs:subClassOf	"disease"
s14	"coronavirus disease"	rdfs:member	"coronavirus"
s14	"2019 diagnosis"	rdfs:subClassOf	"diagnosis"
s14	"2019 infection"	rdfs:subClassOf	"infection"
s14	"2 month"	rdfs:subClassOf	"month"
s14	"composite of incidence"	rdfs:member	"composite"
s14	"composite of incidence"	rdfs:member	"incidence"
s14	"incidence of death"	rdfs:member	"incidence"
s14	"incidence of death"	rdfs:member	"death"
s14	"composite of incidence within 2 month"	rdfs:member	"composite of incidence"
s14	"composite of incidence within 2 month"	rdfs:member	"2 month"
s14	"2 month after coronavirus disease"	rdfs:member	"2 month"
s14	"2 month after coronavirus disease"	rdfs:member	"coronavirus disease"
s13	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of intensive care unit admission within 2 months after coronavirus disease 2019 infection 2019 diagnosis"
s13	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of intensive care unit admission within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:subject	"severe complication with coronavirus disease 2019 infection"
s13	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"infection"
s13	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"severe complication"
s13	"severe complication with coronavirus disease 2019 infection"	rdfs:member	"coronavirus disease"
s13	"severe complication"	rdfs:subClassOf	"complication"
s13	"severe complication"	rdfs:member	"severe"
s13	"coronavirus disease"	rdfs:subClassOf	"disease"
s13	"coronavirus disease"	rdfs:member	"coronavirus"
s13	"2019 disease"	rdfs:subClassOf	"disease"
s13	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s13	"severe complication with coronavirus 2019 disease"	rdfs:member	"severe complication"
s13	"severe complication with coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s13	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of intensive care unit admission within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:predicate	"define"
s13	"severe complications with coronavirus disease 2019 infection defined as a composite of the incidence of intensive care unit admission within 2 months after coronavirus disease 2019 infection 2019 diagnosis"	rdf:object	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"infection"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"month"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"intensive care unit admission"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"coronavirus disease"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"composite"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"diagnosis"
s13	"composite of the incidence of intensive care unit admission within 2 month after coronavirus disease 2019 infection 2019 diagnosis"	rdfs:member	"incidence"
s13	"intensive care unit"	rdfs:member	"intensive care"
s13	"intensive care"	rdfs:subClassOf	"care"
s13	"coronavirus disease"	rdfs:subClassOf	"disease"
s13	"care unit"	rdfs:member	"care"
s13	"care unit"	rdfs:subClassOf	"unit"
s13	"coronavirus disease"	rdfs:member	"coronavirus"
s13	"intensive care unit admission"	rdfs:member	"intensive care unit"
s13	"intensive care"	rdfs:member	"intensive"
s13	"unit admission"	rdfs:member	"unit"
s13	"care unit admission"	rdfs:subClassOf	"admission"
s13	"unit admission"	rdfs:subClassOf	"admission"
s13	"intensive care unit"	rdfs:subClassOf	"unit"
s13	"care unit admission"	rdfs:member	"care unit"
s13	"intensive care unit admission"	rdfs:subClassOf	"admission"
s13	"2019 diagnosis"	rdfs:subClassOf	"diagnosis"
s13	"2019 infection"	rdfs:subClassOf	"infection"
s13	"2 month"	rdfs:subClassOf	"month"
s13	"intensive care unit"	rdfs:subClassOf	"care unit"
s13	"composite of incidence"	rdfs:member	"composite"
s13	"composite of incidence"	rdfs:member	"incidence"
s13	"incidence of intensive care unit"	rdfs:member	"incidence"
s13	"incidence of intensive care unit"	rdfs:member	"intensive care unit"
s13	"admission within 2 month"	rdfs:member	"admission"
s13	"admission within 2 month"	rdfs:member	"2 month"
s13	"composite of incidence after coronavirus disease"	rdfs:member	"composite of incidence"
s13	"composite of incidence after coronavirus disease"	rdfs:member	"coronavirus disease"
s12.1	"severe complications of coronavirus disease 2019 logistic regression analysis"
s12.1	"severe complications of coronavirus disease 2019 logistic regression analysis"	rdf:subject	"severe complication of coronavirus disease 2019 logistic regression analysis"
s12.1	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"logistic regression analysis"
s12.1	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"severe complication"
s12.1	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"coronavirus disease"
s12.1	"severe complication"	rdfs:subClassOf	"complication"
s12.1	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s12.1	"coronavirus disease"	rdfs:subClassOf	"disease"
s12.1	"logistic regression"	rdfs:subClassOf	"regression"
s12.1	"regression analysis"	rdfs:member	"regression"
s12.1	"coronavirus disease"	rdfs:member	"coronavirus"
s12.1	"logistic regression analysis"	rdfs:member	"logistic regression"
s12.1	"regression analysis"	rdfs:subClassOf	"analysis"
s12.1	"severe complication"	rdfs:member	"severe"
s12.1	"logistic regression"	rdfs:member	"logistic"
s12.1	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
s12.1	"2019 disease"	rdfs:subClassOf	"disease"
s12.1	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s12.1	"severe complication of coronavirus 2019 disease"	rdfs:member	"severe complication"
s12.1	"severe complication of coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s12.1	"severe complications of coronavirus disease 2019 logistic regression analysis"	rdf:predicate	"perform"
s12	"investigate severe complications of coronavirus disease 2019 logistic regression analysis"
s12	"investigate severe complications of coronavirus disease 2019 logistic regression analysis"	rdf:subject	"severe complication of coronavirus disease 2019 logistic regression analysis"
s12	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"logistic regression analysis"
s12	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"severe complication"
s12	"severe complication of coronavirus disease 2019 logistic regression analysis"	rdfs:member	"coronavirus disease"
s12	"severe complication"	rdfs:subClassOf	"complication"
s12	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s12	"coronavirus disease"	rdfs:subClassOf	"disease"
s12	"logistic regression"	rdfs:subClassOf	"regression"
s12	"regression analysis"	rdfs:member	"regression"
s12	"coronavirus disease"	rdfs:member	"coronavirus"
s12	"logistic regression analysis"	rdfs:member	"logistic regression"
s12	"regression analysis"	rdfs:subClassOf	"analysis"
s12	"severe complication"	rdfs:member	"severe"
s12	"logistic regression"	rdfs:member	"logistic"
s12	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
s12	"2019 disease"	rdfs:subClassOf	"disease"
s12	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s12	"severe complication of coronavirus 2019 disease"	rdfs:member	"severe complication"
s12	"severe complication of coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s12	"investigate severe complications of coronavirus disease 2019 logistic regression analysis"	rdf:predicate	"investigate"
s11.1	"the susceptibility for logistic regression analysis"
s11.1	"the susceptibility for logistic regression analysis"	rdf:subject	"susceptibility for logistic regression analysis"
s11.1	"susceptibility for logistic regression analysis"	rdfs:member	"logistic regression analysis"
s11.1	"susceptibility for logistic regression analysis"	rdfs:member	"susceptibility"
s11.1	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s11.1	"logistic regression"	rdfs:subClassOf	"regression"
s11.1	"regression analysis"	rdfs:member	"regression"
s11.1	"logistic regression analysis"	rdfs:member	"logistic regression"
s11.1	"regression analysis"	rdfs:subClassOf	"analysis"
s11.1	"logistic regression"	rdfs:member	"logistic"
s11.1	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
s11.1	"susceptibility for logistic regression analysis"	rdfs:member	"susceptibility"
s11.1	"susceptibility for logistic regression analysis"	rdfs:member	"logistic regression analysis"
s11.1	"the susceptibility for logistic regression analysis"	rdf:predicate	"perform"
s11	"investigate the susceptibility for logistic regression analysis"
s11	"investigate the susceptibility for logistic regression analysis"	rdf:subject	"susceptibility for logistic regression analysis"
s11	"susceptibility for logistic regression analysis"	rdfs:member	"logistic regression analysis"
s11	"susceptibility for logistic regression analysis"	rdfs:member	"susceptibility"
s11	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s11	"logistic regression"	rdfs:subClassOf	"regression"
s11	"regression analysis"	rdfs:member	"regression"
s11	"logistic regression analysis"	rdfs:member	"logistic regression"
s11	"regression analysis"	rdfs:subClassOf	"analysis"
s11	"logistic regression"	rdfs:member	"logistic"
s11	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
